county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
"Autauga County, Alabama",58805,42160,11445,217,881,35,910,3157
"Baldwin County, Alabama",231767,189399,18217,1582,2067,143,5335,15024
"Barbour County, Alabama",25223,11317,11933,116,117,1,1039,700
"Bibb County, Alabama",22293,16555,4413,60,32,9,465,759
"Blount County, Alabama",59134,50663,845,337,178,24,3431,3656
"Bullock County, Alabama",10357,2320,7396,72,9,10,302,248
"Butler County, Alabama",19051,9752,8430,29,143,5,105,587
"Calhoun County, Alabama",116441,80586,25559,487,1190,119,2471,6029
"Chambers County, Alabama",34772,18850,13512,106,401,13,680,1210
"Cherokee County, Alabama",24971,22707,987,109,56,1,191,920
"Chilton County, Alabama",45014,35527,4067,338,181,6,2892,2003
"Choctaw County, Alabama",12665,7074,5232,30,22,0,47,260
"Clarke County, Alabama",23087,12029,10255,74,94,1,82,552
"Clay County, Alabama",14236,11375,1963,56,48,4,195,595
"Cleburne County, Alabama",15056,13819,466,53,21,2,129,566
"Coffee County, Alabama",53465,37080,8760,640,909,61,1908,4107
"Colbert County, Alabama",57227,43631,9286,270,432,9,902,2697
"Conecuh County, Alabama",11597,5912,5104,72,40,1,99,369
"Coosa County, Alabama",10387,6824,3008,31,8,0,162,354
"Covington County, Alabama",37570,30877,4607,147,240,0,257,1442
"Crenshaw County, Alabama",13194,9388,3103,62,83,2,77,479
"Cullman County, Alabama",87866,79142,937,408,522,64,2136,4657
"Dale County, Alabama",49326,33429,10241,270,671,52,1243,3420
"Dallas County, Alabama",38462,10409,26899,65,146,17,120,806
"DeKalb County, Alabama",71608,56420,1046,1992,253,22,7171,4704
"Elmore County, Alabama",87977,63139,18211,337,674,32,1343,4241
"Escambia County, Alabama",36757,22202,10991,1539,114,22,278,1611
"Etowah County, Alabama",103436,78584,15146,739,927,54,2729,5257
"Fayette County, Alabama",16321,13666,1736,72,51,6,144,646
"Franklin County, Alabama",32113,24333,1166,651,68,10,4293,1592
"Geneva County, Alabama",26659,22078,2241,182,89,7,543,1519
"Greene County, Alabama",7730,1301,6246,5,7,0,33,138
"Hale County, Alabama",14785,5999,8337,39,25,15,66,304
"Henry County, Alabama",17146,11888,4248,50,73,4,201,682
"Houston County, Alabama",107202,69265,28408,496,1282,63,2097,5591
"Jackson County, Alabama",52579,45480,1636,770,214,4,921,3554
"Jefferson County, Alabama",674721,329590,281326,2321,13109,352,19074,28949
"Lamar County, Alabama",13972,11962,1425,35,6,6,96,442
"Lauderdale County, Alabama",93564,77141,9243,368,770,32,1552,4458
"Lawrence County, Alabama",33073,24915,3304,1447,87,8,438,2874
"Lee County, Alabama",174241,111651,39570,720,8572,120,4392,9216
"Limestone County, Alabama",103570,77064,13307,708,1869,75,3862,6685
"Lowndes County, Alabama",10311,2818,7192,17,15,5,39,225
"Macon County, Alabama",19532,3252,15441,48,74,4,213,500
"Madison County, Alabama",388153,242510,92066,2978,10292,482,10436,29389
"Marengo County, Alabama",19323,8428,10188,9,54,3,218,423
"Marion County, Alabama",29341,26312,1106,106,75,14,415,1313
"Marshall County, Alabama",97612,76926,2428,1398,602,137,9587,6534
"Mobile County, Alabama",414809,229550,146254,4057,8585,234,5998,20131
"Monroe County, Alabama",19772,10391,8299,289,88,3,79,623
"Montgomery County, Alabama",228954,75074,130467,795,7995,146,6282,8195
"Morgan County, Alabama",123421,89869,15453,951,850,85,7974,8239
"Perry County, Alabama",8511,2359,5936,16,10,3,11,176
"Pickens County, Alabama",19123,10739,7489,27,78,0,290,500
"Pike County, Alabama",33009,18275,12138,192,588,21,439,1356
"Randolph County, Alabama",21967,16772,3815,76,87,3,370,844
"Russell County, Alabama",59183,27532,26243,228,420,140,1213,3407
"St. Clair County, Alabama",91103,75728,8652,324,663,21,1064,4651
"Shelby County, Alabama",223024,165206,28939,1128,5152,108,8907,13584
"Sumter County, Alabama",12345,2974,8997,26,102,5,27,214
"Talladega County, Alabama",82149,51214,26439,209,395,27,957,2908
"Tallapoosa County, Alabama",41311,28477,10409,127,222,0,677,1399
"Tuscaloosa County, Alabama",227036,136582,69088,963,3253,104,6311,10735
"Walker County, Alabama",65342,57012,3929,321,297,6,1047,2730
"Washington County, Alabama",15388,10309,3318,1114,14,7,54,572
"Wilcox County, Alabama",10600,2880,7483,11,7,6,35,178
"Winston County, Alabama",23540,21760,141,113,61,9,389,1067
"Aleutians East Borough, Alaska",3420,684,297,802,771,32,626,208
"Aleutians West Census Area, Alaska",5232,1667,259,728,1513,239,452,374
"Anchorage Municipality, Alaska",291247,164446,14576,23661,27646,10001,10115,40802
"Bethel Census Area, Alaska",18666,1665,85,15632,202,2,64,1016
"Bristol Bay Borough, Alaska",844,370,6,305,5,3,12,143
"Chugach Census Area, Alaska",7102,4907,49,669,529,62,126,760
"Copper River Census Area, Alaska",2617,1611,8,663,17,10,26,282
"Denali Borough, Alaska",1619,1382,11,61,13,5,8,139
"Dillingham Census Area, Alaska",4857,799,25,3453,48,9,27,496
"Fairbanks North Star Borough, Alaska",95655,65971,4014,7555,3104,604,2237,12170
"Haines Borough, Alaska",2080,1589,2,214,14,2,17,242
"Hoonah-Angoon Census Area, Alaska",2365,1147,6,878,16,5,29,284
"Juneau City and Borough, Alaska",32255,20124,350,3614,2101,476,653,4937
"Kenai Peninsula Borough, Alaska",58799,46382,386,4228,809,182,824,5988
"Ketchikan Gateway Borough, Alaska",13948,8430,103,2334,1129,26,224,1702
"Kodiak Island Borough, Alaska",13101,6570,90,1826,2803,117,388,1307
"Kusilvak Census Area, Alaska",8368,173,16,7946,23,0,18,192
"Lake and Peninsula Borough, Alaska",1476,303,2,994,9,1,0,167
"Matanuska-Susitna Borough, Alaska",107081,83035,1121,6844,1559,506,1717,12299
"Nome Census Area, Alaska",10046,1422,55,7556,111,5,56,841
"North Slope Borough, Alaska",11031,3082,162,5748,641,321,118,959
"Northwest Arctic Borough, Alaska",7793,700,72,6469,55,12,23,462
"Petersburg Borough, Alaska",3398,2470,49,247,123,12,61,436
"Prince of Wales-Hyder Census Area, Alaska",5753,2403,22,2584,27,30,29,658
"Sitka City and Borough, Alaska",8458,5174,37,1248,573,14,215,1197
"Skagway Municipality, Alaska",1240,1070,10,32,39,0,9,80
"Southeast Fairbanks Census Area, Alaska",6808,5085,74,817,87,16,137,592
"Wrangell City and Borough, Alaska",2127,1352,0,380,25,2,30,338
"Yakutat City and Borough, Alaska",662,249,4,255,32,1,3,118
"Yukon-Koyukuk Census Area, Alaska",5343,1130,7,3832,8,3,28,335
"Apache County, Arizona",66021,14873,185,47016,312,20,1225,2390
"Cochise County, Arizona",125447,81733,4783,1510,2712,488,12678,21543
"Coconino County, Arizona",145101,83360,1961,36225,2674,262,7656,12963
"Gila County, Arizona",53272,35904,282,8928,445,48,3073,4592
"Graham County, Arizona",38533,25043,537,5390,192,20,3225,4126
"Greenlee County, Arizona",9563,6584,87,355,75,5,893,1564
"La Paz County, Arizona",16557,9772,114,2833,115,49,1613,2061
"Maricopa County, Arizona",4420568,2645512,260469,100645,203696,10966,598605,600675
"Mohave County, Arizona",213267,169732,2221,5185,2734,409,12676,20310
"Navajo County, Arizona",106717,48430,760,47442,567,86,3149,6283
"Pima County, Arizona",1043433,633382,39954,34593,31367,2229,127663,174245
