,county,labor_force,employed,unemployed,unemployed_pct,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
0,"Autauga County, Alabama",25838,24576,1262,4.9     ,58805,42160,11445,217,881,35,910,3157
2,"Baldwin County, Alabama",96763,91338,5425,5.6     ,231767,189399,18217,1582,2067,143,5335,15024
4,"Barbour County, Alabama",8587,7982,605,7.0     ,25223,11317,11933,116,117,1,1039,700
6,"Bibb County, Alabama",8640,8067,573,6.6     ,22293,16555,4413,60,32,9,465,759
8,"Blount County, Alabama",24661,23653,1008,4.1     ,59134,50663,845,337,178,24,3431,3656
10,"Bullock County, Alabama",4818,4553,265,5.5     ,10357,2320,7396,72,9,10,302,248
12,"Butler County, Alabama",9056,8255,801,8.8     ,19051,9752,8430,29,143,5,105,587
14,"Calhoun County, Alabama",46240,42980,3260,7.1     ,116441,80586,25559,487,1190,119,2471,6029
16,"Chambers County, Alabama",15865,14787,1078,6.8     ,34772,18850,13512,106,401,13,680,1210
18,"Cherokee County, Alabama",11513,10983,530,4.6     ,24971,22707,987,109,56,1,191,920
20,"Chilton County, Alabama",19592,18618,974,5.0     ,45014,35527,4067,338,181,6,2892,2003
22,"Choctaw County, Alabama",4621,4313,308,6.7     ,12665,7074,5232,30,22,0,47,260
24,"Clarke County, Alabama",7769,7069,700,9.0     ,23087,12029,10255,74,94,1,82,552
26,"Clay County, Alabama",6083,5838,245,4.0     ,14236,11375,1963,56,48,4,195,595
28,"Cleburne County, Alabama",5737,5475,262,4.6     ,15056,13819,466,53,21,2,129,566
30,"Coffee County, Alabama",21502,20558,944,4.4     ,53465,37080,8760,640,909,61,1908,4107
32,"Colbert County, Alabama",23558,22008,1550,6.6     ,57227,43631,9286,270,432,9,902,2697
34,"Conecuh County, Alabama",4529,4198,331,7.3     ,11597,5912,5104,72,40,1,99,369
36,"Coosa County, Alabama",4392,4150,242,5.5     ,10387,6824,3008,31,8,0,162,354
38,"Covington County, Alabama",15172,14434,738,4.9     ,37570,30877,4607,147,240,0,257,1442
40,"Crenshaw County, Alabama",6253,5896,357,5.7     ,13194,9388,3103,62,83,2,77,479
42,"Cullman County, Alabama",38310,36660,1650,4.3     ,87866,79142,937,408,522,64,2136,4657
44,"Dale County, Alabama",20710,19701,1009,4.9     ,49326,33429,10241,270,671,52,1243,3420
46,"Dallas County, Alabama",14619,13049,1570,10.7     ,38462,10409,26899,65,146,17,120,806
48,"DeKalb County, Alabama",30736,29348,1388,4.5     ,71608,56420,1046,1992,253,22,7171,4704
50,"Elmore County, Alabama",36620,34843,1777,4.9     ,87977,63139,18211,337,674,32,1343,4241
52,"Escambia County, Alabama",14453,13589,864,6.0     ,36757,22202,10991,1539,114,22,278,1611
54,"Etowah County, Alabama",40724,37598,3126,7.7     ,103436,78584,15146,739,927,54,2729,5257
56,"Fayette County, Alabama",6562,6236,326,5.0     ,16321,13666,1736,72,51,6,144,646
58,"Franklin County, Alabama",14424,13786,638,4.4     ,32113,24333,1166,651,68,10,4293,1592
60,"Geneva County, Alabama",10835,10391,444,4.1     ,26659,22078,2241,182,89,7,543,1519
