county,labor_force,employed,unemployed,unemployed_pct
"Autauga County, AL",25838,24576,1262,4.9     
"Baldwin County, AL",96763,91338,5425,5.6     
"Barbour County, AL",8587,7982,605,7.0     
"Bibb County, AL",8640,8067,573,6.6     
"Blount County, AL",24661,23653,1008,4.1     
"Bullock County, AL",4818,4553,265,5.5     
"Butler County, AL",9056,8255,801,8.8     
"Calhoun County, AL",46240,42980,3260,7.1     
"Chambers County, AL",15865,14787,1078,6.8     
"Cherokee County, AL",11513,10983,530,4.6     
"Chilton County, AL",19592,18618,974,5.0     
"Choctaw County, AL",4621,4313,308,6.7     
"Clarke County, AL",7769,7069,700,9.0     
"Clay County, AL",6083,5838,245,4.0     
"Cleburne County, AL",5737,5475,262,4.6     
"Coffee County, AL",21502,20558,944,4.4     
"Colbert County, AL",23558,22008,1550,6.6     
"Conecuh County, AL",4529,4198,331,7.3     
"Coosa County, AL",4392,4150,242,5.5     
"Covington County, AL",15172,14434,738,4.9     
"Crenshaw County, AL",6253,5896,357,5.7     
"Cullman County, AL",38310,36660,1650,4.3     
"Dale County, AL",20710,19701,1009,4.9     
"Dallas County, AL",14619,13049,1570,10.7     
"DeKalb County, AL",30736,29348,1388,4.5     
"Elmore County, AL",36620,34843,1777,4.9     
"Escambia County, AL",14453,13589,864,6.0     
"Etowah County, AL",40724,37598,3126,7.7     
"Fayette County, AL",6562,6236,326,5.0     
"Franklin County, AL",14424,13786,638,4.4     
"Geneva County, AL",10835,10391,444,4.1     
"Greene County, AL",3015,2687,328,10.9     
"Hale County, AL",6075,5503,572,9.4     
"Henry County, AL",6814,6487,327,4.8     
"Houston County, AL",46358,43861,2497,5.4     
"Jackson County, AL",22840,21637,1203,5.3     
"Jefferson County, AL",315957,296282,19675,6.2     
"Lamar County, AL",5730,5452,278,4.9     
"Lauderdale County, AL",41931,39610,2321,5.5     
"Lawrence County, AL",14363,13660,703,4.9     
"Lee County, AL",75564,71629,3935,5.2     
"Limestone County, AL",44624,42724,1900,4.3     
"Lowndes County, AL",3661,3173,488,13.3     
"Macon County, AL",8063,7290,773,9.6     
"Madison County, AL",187247,178579,8668,4.6     
"Marengo County, AL",7766,7281,485,6.2     
"Marion County, AL",13034,12373,661,5.1     
"Marshall County, AL",44275,42430,1845,4.2     
"Mobile County, AL",190882,175761,15121,7.9     
"Monroe County, AL",7474,6864,610,8.2     
"Montgomery County, AL",107103,98735,8368,7.8     
"Morgan County, AL",58899,56265,2634,4.5     
"Perry County, AL",3437,3064,373,10.9     
"Pickens County, AL",7660,7161,499,6.5     
"Pike County, AL",15636,14864,772,4.9     
"Randolph County, AL",9414,8967,447,4.7     
"Russell County, AL",23500,22290,1210,5.1     
"St. Clair County, AL",40132,38146,1986,4.9     
"Shelby County, AL",114048,109646,4402,3.9     
"Sumter County, AL",4745,4414,331,7.0     
"Talladega County, AL",36123,33591,2532,7.0     
"Tallapoosa County, AL",17864,16625,1239,6.9     
"Tuscaloosa County, AL",102222,95473,6749,6.6     
"Walker County, AL",24877,23431,1446,5.8     
"Washington County, AL",6729,6190,539,8.0     
"Wilcox County, AL",2871,2448,423,14.7     
"Winston County, AL",10017,9542,475,4.7     
"Aleutians East Borough, AK",2523,2423,100,4.0     
"Aleutians West Census Area, AK",3732,3563,169,4.5     
"Anchorage Borough/municipality, AK",148392,137421,10971,7.4     
"Bethel Census Area, AK",6963,6158,805,11.6     
"Bristol Bay Borough, AK",417,386,31,7.4     
"Denali Borough, AK",680,573,107,15.7     
"Dillingham Census Area, AK",1742,1599,143,8.2     
"Fairbanks North Star Borough, AK",44679,41838,2841,6.4     
"Haines Borough, AK",1018,859,159,15.6     
"Hoonah-Angoon Census Area, AK",1050,908,142,13.5     
"Juneau Borough/city, AK",16374,15293,1081,6.6     
"Kenai Peninsula Borough, AK",26341,23948,2393,9.1     
"Ketchikan Gateway Borough, AK",6520,5893,627,9.6     
"Kodiak Island Borough, AK",6090,5710,380,6.2     
"Kusilvak Census Area, AK",2299,1854,445,19.4     
"Lake and Peninsula Borough, AK",689,624,65,9.4     
"Matanuska-Susitna Borough, AK",47848,43858,3990,8.3     
"Nome Census Area, AK",3927,3516,411,10.5     
"North Slope Borough, AK",3200,3011,189,5.9     
"Northwest Arctic Borough, AK",2942,2590,352,12.0     
"Petersburg Borough, AK",1415,1292,123,8.7     
"Prince of Wales-Hyder Census Area, AK",2828,2568,260,9.2     
"Sitka Borough/city, AK",4132,3847,285,6.9     
"Skagway Municipality, AK",606,476,130,21.5     
"Southeast Fairbanks Census Area, AK",2934,2717,217,7.4     
"Valdez-Cordova Census Area, AK",4522,4127,395,8.7     
"Wrangell Borough/city, AK",984,901,83,8.4     
"Yakutat Borough/city, AK",260,238,22,8.5     
"Yukon-Koyukuk Census Area, AK",2308,2028,280,12.1     
"Apache County, AZ",20195,17614,2581,12.8     
"Cochise County, AZ",51995,48368,3627,7.0     
"Coconino County, AZ",75280,67985,7295,9.7     
"Gila County, AZ",21008,19387,1621,7.7     
"Graham County, AZ",15919,14911,1008,6.3     
"Greenlee County, AZ",4454,4210,244,5.5     
"La Paz County, AZ",8979,8343,636,7.1     
"Maricopa County, AZ",2331628,2159267,172361,7.4     
"Mohave County, AZ",88743,79889,8854,10.0     
"Navajo County, AZ",40419,36322,4097,10.1     
"Pima County, AZ",495991,457683,38308,7.7     
"Pinal County, AZ",191074,176674,14400,7.5     
"Santa Cruz County, AZ",19429,17209,2220,11.4     
"Yavapai County, AZ",106985,98978,8007,7.5     
"Yuma County, AZ",98120,81310,16810,17.1     
"Arkansas County, AR",9422,9044,378,4.0     
"Ashley County, AR",7186,6518,668,9.3     
"Baxter County, AR",16528,15547,981,5.9     
"Benton County, AR",140015,133784,6231,4.5     
"Boone County, AR",15764,14934,830,5.3     
"Bradley County, AR",4386,4130,256,5.8     
"Calhoun County, AR",2426,2301,125,5.2     
"Carroll County, AR",12709,11989,720,5.7     
"Chicot County, AR",3250,2914,336,10.3     
"Clark County, AR",9314,8765,549,5.9     
"Clay County, AR",5519,5186,333,6.0     
"Cleburne County, AR",9157,8460,697,7.6     
"Cleveland County, AR",3203,3008,195,6.1     
"Columbia County, AR",9053,8433,620,6.8     
"Conway County, AR",8392,7888,504,6.0     
"Craighead County, AR",55775,52803,2972,5.3     
"Crawford County, AR",26436,24998,1438,5.4     
"Crittenden County, AR",21209,19459,1750,8.3     
"Cross County, AR",7291,6847,444,6.1     
"Dallas County, AR",2832,2681,151,5.3     
"Desha County, AR",5321,4948,373,7.0     
"Drew County, AR",7730,7196,534,6.9     
"Faulkner County, AR",61682,58321,3361,5.4     
"Franklin County, AR",7478,7059,419,5.6     
"Fulton County, AR",4924,4671,253,5.1     
"Garland County, AR",41347,38052,3295,8.0     
"Grant County, AR",8222,7796,426,5.2     
"Greene County, AR",19450,18292,1158,6.0     
"Hempstead County, AR",9593,9094,499,5.2     
"Hot Spring County, AR",14100,13285,815,5.8     
"Howard County, AR",5533,5257,276,5.0     
"Independence County, AR",16670,15711,959,5.8     
"Izard County, AR",4640,4249,391,8.4     
"Jackson County, AR",5863,5444,419,7.1     
"Jefferson County, AR",27398,25194,2204,8.0     
"Johnson County, AR",10120,9482,638,6.3     
"Lafayette County, AR",2421,2236,185,7.6     
"Lawrence County, AR",6786,6369,417,6.1     
"Lee County, AR",2805,2595,210,7.5     
"Lincoln County, AR",3834,3605,229,6.0     
"Little River County, AR",5385,5038,347,6.4     
"Logan County, AR",8656,8081,575,6.6     
"Lonoke County, AR",33550,31692,1858,5.5     
"Madison County, AR",7413,7126,287,3.9     
"Marion County, AR",6251,5848,403,6.4     
"Miller County, AR",19379,18047,1332,6.9     
"Mississippi County, AR",17264,15705,1559,9.0     
"Monroe County, AR",2721,2539,182,6.7     
"Montgomery County, AR",2981,2778,203,6.8     
"Nevada County, AR",3550,3342,208,5.9     
"Newton County, AR",3246,3084,162,5.0     
"Ouachita County, AR",9821,9229,592,6.0     
"Perry County, AR",4188,3956,232,5.5     
"Phillips County, AR",6402,5822,580,9.1     
"Pike County, AR",4272,4020,252,5.9     
"Poinsett County, AR",9919,9374,545,5.5     
"Polk County, AR",8013,7482,531,6.6     
"Pope County, AR",27775,26138,1637,5.9     
"Prairie County, AR",3608,3415,193,5.3     
"Pulaski County, AR",188928,174884,14044,7.4     
"Randolph County, AR",7444,7005,439,5.9     
"St. Francis County, AR",8028,7394,634,7.9     
"Saline County, AR",58181,55241,2940,5.1     
"Scott County, AR",4354,4159,195,4.5     
"Searcy County, AR",2885,2701,184,6.4     
"Sebastian County, AR",56158,52803,3355,6.0     
"Sevier County, AR",5524,5202,322,5.8     
"Sharp County, AR",5717,5309,408,7.1     
"Stone County, AR",4618,4290,328,7.1     
"Union County, AR",15622,14325,1297,8.3     
"Van Buren County, AR",5758,5349,409,7.1     
"Washington County, AR",126141,120346,5795,4.6     
"White County, AR",33972,31855,2117,6.2     
"Woodruff County, AR",2794,2631,163,5.8     
"Yell County, AR",7997,7592,405,5.1     
"Alameda County, CA",813807,742411,71396,8.8     
"Alpine County, CA",517,459,58,11.2     
"Amador County, CA",14424,13107,1317,9.1     
"Butte County, CA",92604,84095,8509,9.2     
"Calaveras County, CA",21207,19588,1619,7.6     
"Colusa County, CA",10499,8824,1675,16.0     
"Contra Costa County, CA",541256,493236,48020,8.9     
"Del Norte County, CA",9350,8466,884,9.5     
"El Dorado County, CA",90752,83262,7490,8.3     
"Fresno County, CA",445518,395258,50260,11.3     
"Glenn County, CA",12568,11455,1113,8.9     
"Humboldt County, CA",59411,54446,4965,8.4     
"Imperial County, CA",69602,53949,15653,22.5     
"Inyo County, CA",8305,7658,647,7.8     
"Kern County, CA",383769,335707,48062,12.5     
"Kings County, CA",56416,49883,6533,11.6     
"Lake County, CA",28267,25567,2700,9.6     
"Lassen County, CA",9461,8785,676,7.1     
"Los Angeles County, CA",4921499,4291688,629811,12.8     
"Madera County, CA",61738,55089,6649,10.8     
"Marin County, CA",130138,121476,8662,6.7     
"Mariposa County, CA",7162,6381,781,10.9     
"Mendocino County, CA",37015,33723,3292,8.9     
"Merced County, CA",114736,100755,13981,12.2     
"Modoc County, CA",3170,2900,270,8.5     
"Mono County, CA",7846,6917,929,11.8     
"Monterey County, CA",213471,190389,23082,10.8     
"Napa County, CA",68867,62853,6014,8.7     
"Nevada County, CA",46489,42787,3702,8.0     
"Orange County, CA",1553301,1416738,136563,8.8     
"Placer County, CA",184892,171319,13573,7.3     
"Plumas County, CA",7559,6753,806,10.7     
"Riverside County, CA",1107723,997725,109998,9.9     
"Sacramento County, CA",707182,641624,65558,9.3     
"San Benito County, CA",31528,28409,3119,9.9     
"San Bernardino County, CA",966206,874911,91295,9.4     
"San Diego County, CA",1538361,1396547,141814,9.2     
"San Francisco County/city, CA",556056,512531,43525,7.8     
"San Joaquin County, CA",331828,294454,37374,11.3     
"San Luis Obispo County, CA",132690,122495,10195,7.7     
"San Mateo County, CA",433876,404128,29748,6.9     
"Santa Barbara County, CA",217510,200175,17335,8.0     
"Santa Clara County, CA",1020693,949353,71340,7.0     
"Santa Cruz County, CA",133646,120932,12714,9.5     
"Shasta County, CA",72827,66484,6343,8.7     
"Sierra County, CA",1282,1179,103,8.0     
"Siskiyou County, CA",16923,15286,1637,9.7     
"Solano County, CA",202812,183607,19205,9.5     
"Sonoma County, CA",245091,225791,19300,7.9     
"Stanislaus County, CA",240641,214885,25756,10.7     
"Sutter County, CA",45467,40472,4995,11.0     
"Tehama County, CA",25579,23317,2262,8.8     
"Trinity County, CA",4515,4155,360,8.0     
"Tulare County, CA",199151,172852,26299,13.2     
"Tuolumne County, CA",20038,17954,2084,10.4     
"Ventura County, CA",408867,373903,34964,8.6     
"Yolo County, CA",105026,97111,7915,7.5     
"Yuba County, CA",30042,26879,3163,10.5     
"Adams County, CO",274498,252469,22029,8.0     
"Alamosa County, CO",8403,7868,535,6.4     
"Arapahoe County, CO",366768,337943,28825,7.9     
"Archuleta County, CO",7123,6585,538,7.6     
"Baca County, CO",2132,2082,50,2.3     
"Bent County, CO",1828,1748,80,4.4     
"Boulder County, CO",192879,180992,11887,6.2     
"Broomfield County/city, CO",40226,37556,2670,6.6     
"Chaffee County, CO",9741,9126,615,6.3     
"Cheyenne County, CO",1103,1076,27,2.4     
"Clear Creek County, CO",6151,5628,523,8.5     
"Conejos County, CO",4071,3844,227,5.6     
"Costilla County, CO",1823,1691,132,7.2     
"Crowley County, CO",1528,1445,83,5.4     
"Custer County, CO",2087,1982,105,5.0     
"Delta County, CO",14340,13400,940,6.6     
"Denver County/city, CO",423824,388924,34900,8.2     
"Dolores County, CO",1137,1059,78,6.9     
"Douglas County, CO",194649,183412,11237,5.8     
"Eagle County, CO",35708,32319,3389,9.5     
"Elbert County, CO",14961,14264,697,4.7     
"El Paso County, CO",344120,319084,25036,7.3     
"Fremont County, CO",15393,14203,1190,7.7     
"Garfield County, CO",31762,29606,2156,6.8     
"Gilpin County, CO",4016,3562,454,11.3     
"Grand County, CO",9364,8576,788,8.4     
"Gunnison County, CO",11347,10596,751,6.6     
"Hinsdale County, CO",426,408,18,4.2     
"Huerfano County, CO",2644,2395,249,9.4     
"Jackson County, CO",940,900,40,4.3     
"Jefferson County, CO",333682,310057,23625,7.1     
"Kiowa County, CO",956,934,22,2.3     
"Kit Carson County, CO",4249,4130,119,2.8     
"Lake County, CO",4853,4454,399,8.2     
"La Plata County, CO",31366,29219,2147,6.8     
"Larimer County, CO",203683,190842,12841,6.3     
"Las Animas County, CO",6497,6014,483,7.4     
"Lincoln County, CO",2375,2269,106,4.5     
"Logan County, CO",11017,10495,522,4.7     
"Mesa County, CO",75551,69917,5634,7.5     
"Mineral County, CO",469,442,27,5.8     
"Moffat County, CO",7285,6849,436,6.0     
"Montezuma County, CO",12703,11795,908,7.1     
"Montrose County, CO",21639,20208,1431,6.6     
"Morgan County, CO",16125,15254,871,5.4     
"Otero County, CO",8228,7720,508,6.2     
"Ouray County, CO",2493,2292,201,8.1     
"Park County, CO",11114,10480,634,5.7     
"Phillips County, CO",2467,2401,66,2.7     
"Pitkin County, CO",11253,10077,1176,10.5     
"Prowers County, CO",6213,5937,276,4.4     
"Pueblo County, CO",77355,71037,6318,8.2     
"Rio Blanco County, CO",2949,2789,160,5.4     
"Rio Grande County, CO",5453,5068,385,7.1     
"Routt County, CO",16206,14929,1277,7.9     
"Saguache County, CO",3438,3196,242,7.0     
"San Juan County, CO",509,475,34,6.7     
"San Miguel County, CO",5410,4818,592,10.9     
"Sedgwick County, CO",1166,1126,40,3.4     
"Summit County, CO",22402,20204,2198,9.8     
"Teller County, CO",12984,12016,968,7.5     
"Washington County, CO",2895,2804,91,3.1     
"Weld County, CO",166666,155042,11624,7.0     
"Yuma County, CO",5604,5445,159,2.8     
"Fairfield County, CT",466208,429164,37044,7.9     
"Hartford County, CT",476115,437433,38682,8.1     
"Litchfield County, CT",102109,95102,7007,6.9     
"Middlesex County, CT",92221,86211,6010,6.5     
"New Haven County, CT",457171,420669,36502,8.0     
"New London County, CT",131992,119313,12679,9.6     
"Tolland County, CT",84598,79362,5236,6.2     
"Windham County, CT",62218,57369,4849,7.8     
"Kent County, DE",79715,72843,6872,8.6     
"New Castle County, DE",298640,275601,23039,7.7     
"Sussex County, DE",106004,98014,7990,7.5     
District of Columbia,409734,376839,32895,8.0     
"Alachua County, FL",134931,127696,7235,5.4     
"Baker County, FL",11759,11179,580,4.9     
"Bay County, FL",82763,77746,5017,6.1     
"Bradford County, FL",10791,10150,641,5.9     
"Brevard County, FL",281591,262867,18724,6.6     
"Broward County, FL",1020586,930297,90289,8.8     
"Calhoun County, FL",4754,4508,246,5.2     
"Charlotte County, FL",71182,65968,5214,7.3     
"Citrus County, FL",46500,42582,3918,8.4     
"Clay County, FL",105658,100004,5654,5.4     
"Collier County, FL",177497,165287,12210,6.9     
"Columbia County, FL",29566,27840,1726,5.8     
"DeSoto County, FL",14356,13615,741,5.2     
"Dixie County, FL",5886,5565,321,5.5     
"Duval County, FL",485114,452481,32633,6.7     
"Escambia County, FL",144779,135108,9671,6.7     
"Flagler County, FL",46636,43083,3553,7.6     
"Franklin County, FL",4681,4429,252,5.4     
"Gadsden County, FL",18421,17176,1245,6.8     
"Gilchrist County, FL",7028,6683,345,4.9     
"Glades County, FL",5192,4903,289,5.6     
"Gulf County, FL",5022,4724,298,5.9     
"Hamilton County, FL",4199,3880,319,7.6     
"Hardee County, FL",8466,7915,551,6.5     
"Hendry County, FL",15589,14332,1257,8.1     
"Hernando County, FL",71534,65765,5769,8.1     
"Highlands County, FL",34641,31967,2674,7.7     
"Hillsborough County, FL",754552,700764,53788,7.1     
"Holmes County, FL",6850,6472,378,5.5     
