index,geoid,county,labor_force,employed,unemployed,unemployed%_county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more,state,unemployement%_state,% completed_college_county,%not_completed_college_county,completed_college_county,Not_completed_college_county
0,1001,"Autauga County, Alabama",25838,24576,1262,4.9,58805,42160,11445,217,881,35,910,3157, Alabama,5.88,0.27,0.34,15625.41,19751.69
1,1003,"Baldwin County, Alabama",96763,91338,5425,5.6,231767,189399,18217,1582,2067,143,5335,15024, Alabama,5.88,0.32,0.28,73846.67,64105.86
2,1005,"Barbour County, Alabama",8587,7982,605,7,25223,11317,11933,116,117,1,1039,700, Alabama,5.88,0.12,0.36,2920.5,8980.53
3,1007,"Bibb County, Alabama",8640,8067,573,6.6,22293,16555,4413,60,32,9,465,759, Alabama,5.88,0.1,0.45,2313.68,10004.82
4,1009,"Blount County, Alabama",24661,23653,1008,4.1,59134,50663,845,337,178,24,3431,3656, Alabama,5.88,0.13,0.33,7742.66,19763.84
5,1011,"Bullock County, Alabama",4818,4553,265,5.5,10357,2320,7396,72,9,10,302,248, Alabama,5.88,0.12,0.4,1248.5,4171.39
6,1013,"Butler County, Alabama",9056,8255,801,8.8,19051,9752,8430,29,143,5,105,587, Alabama,5.88,0.16,0.45,3074.3,8608.04
7,1015,"Calhoun County, Alabama",46240,42980,3260,7.1,116441,80586,25559,487,1190,119,2471,6029, Alabama,5.88,0.19,0.33,21519.54,38181.72
8,1017,"Chambers County, Alabama",15865,14787,1078,6.8,34772,18850,13512,106,401,13,680,1210, Alabama,5.88,0.13,0.37,4623.31,12773.66
9,1019,"Cherokee County, Alabama",11513,10983,530,4.6,24971,22707,987,109,56,1,191,920, Alabama,5.88,0.13,0.4,3184.55,10052.43
10,1021,"Chilton County, Alabama",19592,18618,974,5,45014,35527,4067,338,181,6,2892,2003, Alabama,5.88,0.13,0.44,5727.5,19997.57
11,1023,"Choctaw County, Alabama",4621,4313,308,6.7,12665,7074,5232,30,22,0,47,260, Alabama,5.88,0.12,0.38,1511,4771.95
12,1025,"Clarke County, Alabama",7769,7069,700,9,23087,12029,10255,74,94,1,82,552, Alabama,5.88,0.12,0.42,2822.2,9643.68
13,1027,"Clay County, Alabama",6083,5838,245,4,14236,11375,1963,56,48,4,195,595, Alabama,5.88,0.11,0.38,1503.52,5383.46
14,1029,"Cleburne County, Alabama",5737,5475,262,4.6,15056,13819,466,53,21,2,129,566, Alabama,5.88,0.15,0.38,2321.39,5717.29
