,o_group,area_title,occ_title,tot_emp,sum_area_occupations,jobs_1000,istech,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
0,major,"Abilene, TX",Management Occupations,2910,66070,22,1,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
1,major,"Abilene, TX",Business and Financial Operations Occupations,2150,66070,16,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
2,major,"Abilene, TX",Computer and Mathematical Occupations,820,66070,6,1,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
3,major,"Abilene, TX",Architecture and Engineering Occupations,840,66070,6,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
4,major,"Abilene, TX","Life, Physical, and Social Science Occupations",370,66070,3,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
5,major,"Abilene, TX",Community and Social Service Occupations,1220,66070,9,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
6,major,"Abilene, TX",Legal Occupations,350,66070,3,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
7,major,"Abilene, TX",Educational Instruction and Library Occupations,4480,66070,34,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
8,major,"Abilene, TX","Arts, Design, Entertainment, Sports, and Media Occupations",690,66070,5,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
9,major,"Abilene, TX",Healthcare Practitioners and Technical Occupations,5080,66070,38,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
10,major,"Abilene, TX",Healthcare Support Occupations,4140,66070,31,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
11,major,"Abilene, TX",Protective Service Occupations,1830,66070,14,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
12,major,"Abilene, TX",Food Preparation and Serving Related Occupations,6670,66070,50,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
13,major,"Abilene, TX",Building and Grounds Cleaning and Maintenance Occupations,1990,66070,15,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
14,major,"Abilene, TX",Personal Care and Service Occupations,1180,66070,9,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
15,major,"Abilene, TX",Sales and Related Occupations,6360,66070,48,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
16,major,"Abilene, TX",Office and Administrative Support Occupations,10270,66070,77,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
17,major,"Abilene, TX","Farming, Fishing, and Forestry Occupations",160,66070,1,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
18,major,"Abilene, TX",Construction and Extraction Occupations,3610,66070,27,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
19,major,"Abilene, TX","Installation, Maintenance, and Repair Occupations",3330,66070,25,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
20,major,"Abilene, TX",Production Occupations,2440,66070,18,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
21,major,"Abilene, TX",Transportation and Material Moving Occupations,5180,66070,39,0,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
22,major,"Akron, OH",Management Occupations,15990,311500,43,1,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
23,major,"Akron, OH",Business and Financial Operations Occupations,17190,311500,46,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
24,major,"Akron, OH",Computer and Mathematical Occupations,8740,311500,23,1,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
25,major,"Akron, OH",Architecture and Engineering Occupations,6520,311500,17,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
26,major,"Akron, OH","Life, Physical, and Social Science Occupations",2350,311500,6,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
27,major,"Akron, OH",Community and Social Service Occupations,5050,311500,13,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
28,major,"Akron, OH",Legal Occupations,2260,311500,6,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
29,major,"Akron, OH",Educational Instruction and Library Occupations,18100,311500,48,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
30,major,"Akron, OH","Arts, Design, Entertainment, Sports, and Media Occupations",3010,311500,8,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
31,major,"Akron, OH",Healthcare Practitioners and Technical Occupations,22860,311500,61,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
32,major,"Akron, OH",Healthcare Support Occupations,12460,311500,33,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
33,major,"Akron, OH",Protective Service Occupations,5470,311500,15,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
34,major,"Akron, OH",Food Preparation and Serving Related Occupations,26410,311500,70,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
35,major,"Akron, OH",Building and Grounds Cleaning and Maintenance Occupations,9440,311500,25,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
36,major,"Akron, OH",Personal Care and Service Occupations,6060,311500,16,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
37,major,"Akron, OH",Sales and Related Occupations,28070,311500,75,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
38,major,"Akron, OH",Office and Administrative Support Occupations,43430,311500,116,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
39,major,"Akron, OH","Farming, Fishing, and Forestry Occupations",120,311500,0,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
40,major,"Akron, OH",Construction and Extraction Occupations,10140,311500,27,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
41,major,"Akron, OH","Installation, Maintenance, and Repair Occupations",12410,311500,33,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
42,major,"Akron, OH",Production Occupations,26800,311500,72,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
43,major,"Akron, OH",Transportation and Material Moving Occupations,28620,311500,76,0,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
44,major,"Albany, GA",Management Occupations,2910,55640,30,1,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
45,major,"Albany, GA",Business and Financial Operations Occupations,2880,55640,29,0,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
46,major,"Albany, GA",Computer and Mathematical Occupations,650,55640,7,1,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
47,major,"Albany, GA",Architecture and Engineering Occupations,650,55640,7,0,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
48,major,"Albany, GA","Life, Physical, and Social Science Occupations",280,55640,3,0,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
49,major,"Albany, GA",Community and Social Service Occupations,880,55640,9,0,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
