,istech,area_title,tot_emp,sum_area_occupations,jobs_1000,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
1,1,"Abilene, TX",3730,66070,28,"Abilene, TX",133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
3,1,"Akron, OH",24730,311500,66,"Akron, OH",374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
5,1,"Albany, GA",3560,55640,36,"Albany, GA",98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
7,1,"Albany, OR",2310,42720,36,"Albany, OR",63503,38,72395,6409,11043,5806,15482,5150,26013,1185,52553,367,7282,410,47,1649,10
9,1,"Albuquerque, NM",27790,374380,44,"Albuquerque, NM",638803,36,66708,92558,111538,91807,152964,78799,203804,14485,252843,16466,317922,22924,353,11870,1940
11,1,"Alexandria, LA",2770,57140,43,"Alexandria, LA",64782,40,58470,11744,8400,5555,23571,9809,17446,1862,27828,32237,1587,226,7,1004,31
13,1,"Altoona, PA",2920,54790,47,"Altoona, PA",61762,40,55368,9357,7932,3707,28874,6570,14736,190,57740,1486,934,0,7,1386,19
15,1,"Amarillo, TX",6250,107860,27,"Amarillo, TX",227906,36,72544,28207,32787,15679,61809,38650,78994,8040,131730,14345,68070,829,174,4539,179
17,1,"Ames, IA",4170,42980,60,"Ames, IA",69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14
19,1,"Anchorage, AK",14980,164500,17,"Anchorage, AK",906735,34,103078,50058,198858,113526,215091,58227,320844,82416,539625,46959,79809,61260,20832,73740,2094
21,1,"Ann Arbor, MI",9090,197030,55,"Ann Arbor, MI",164626,29,79945,8478,48743,71547,12527,4830,26936,25432,114843,10621,6512,357,57,6491,313
23,1,"Appleton, WI",6620,116350,43,"Appleton, WI",152949,37,74026,10096,33401,13978,46074,10840,48698,7539,130402,2904,8374,780,45,2702,203
25,1,"Asheville, NC",9450,184100,49,"Asheville, NC",191941,41,71349,16348,49168,29664,41972,15695,55401,2924,157211,14351,12624,831,171,3686,143
27,1,"Athens-Clarke County, GA",2420,76760,17,"Athens-Clarke County, GA",140556,29,45080,25290,28134,27501,30672,17545,34487,5665,82883,34414,14550,157,6,2688,193
29,1,"Bakersfield, CA",16360,304130,35,"Bakersfield, CA",470160,30,71101,77596,62320,32383,127766,92655,155076,27014,190050,25427,213855,2197,613,10547,457
31,1,"Bangor, ME",4300,60950,80,"Bangor, ME",53468,40,80487,5491,11218,6744,15024,3840,16601,963,49770,542,805,288,5,1025,70
33,1,"Barnstable Town, MA",6900,92540,104,"Barnstable Town, MA",66298,51,115259,3400,13935,9694,18621,3428,20628,607,57944,2676,2309,726,133,1286,617
35,1,"Baton Rouge, LA",27150,371540,69,"Baton Rouge, LA",391399,29,60870,56140,85731,51957,103453,40451,109858,14631,163829,188955,16603,618,123,6028,612
37,1,"Battle Creek, MI",3320,48150,35,"Battle Creek, MI",93815,40,62566,13313,13475,6027,33712,8385,32242,2588,70663,11263,4912,578,49,3700,62
39,1,"Bay City, MI",1580,29730,24,"Bay City, MI",66132,41,56197,9342,8354,4296,22049,7080,24349,406,58531,1229,4126,190,0,1614,36
41,1,"Beckley, WV",2090,40410,3235,"Beckley, WV",646,37,46718,120,7,24,323,136,154,0,522,124,0,0,0,0,0
43,1,"Bellingham, WA",4600,80780,50,"Bellingham, WA",92414,33,70157,8749,23562,13534,18518,5806,30897,4974,72450,1172,6764,3538,233,3248,35
45,1,"Billings, MT",4480,84140,33,"Billings, MT",136413,38,85427,9853,29138,13327,40161,9865,43958,921,117015,833,7920,6079,124,3422,99
47,1,"Binghamton, NY",2470,88950,87,"Binghamton, NY",28365,40,62885,4206,3936,3179,9434,3025,8768,598,23229,1919,1499,65,0,1045,10
49,1,"Bismarck, ND",4790,67940,54,"Bismarck, ND",89120,36,86447,4604,22812,8838,20583,5521,31358,685,79940,1560,1958,3405,39,1492,41
51,1,"Bloomington, IL",16780,82520,119,"Bloomington, IL",140839,32,92406,11617,44479,24035,31652,5531,35147,8655,107317,13521,7723,238,25,2698,662
53,1,"Bloomington, IN",6050,60680,67,"Bloomington, IN",89672,24,33606,11929,21929,18577,19024,7319,22802,4612,75770,2878,3340,202,24,2773,73
55,1,"Boise City, ID",32530,333900,76,"Boise City, ID",428241,37,83485,31093,108525,52819,96275,22231,148254,11078,365079,5412,33309,1731,525,10718,389
57,1,"Boulder, CO",15400,170600,301,"Boulder, CO",51198,35,103085,1616,16005,23857,2616,1255,7432,2487,41951,382,4569,57,67,1533,152
59,1,"Bowling Green, KY",3920,68060,33,"Bowling Green, KY",118775,28,63319,15532,20728,13926,35470,14736,33902,4075,94140,11191,6099,441,296,2266,267
61,1,"Brunswick, GA",2910,38960,55,"Brunswick, GA",52564,36,50403,12354,6246,3702,17154,8041,17386,898,26251,19842,4084,178,31,1197,83
63,1,"Burlington, NC",3470,60640,23,"Burlington, NC",149923,37,63433,20181,22732,11435,43199,23150,49322,2455,95565,29652,18833,421,63,2787,147
65,1,"Carson City, NV",2720,28920,45,"Carson City, NV",60964,45,73084,6614,7868,5063,17304,8279,22443,1384,41565,870,14379,1152,59,1466,89
67,1,"Casper, WY",2020,36850,42,"Casper, WY",48243,34,67012,2953,7411,3983,13742,3636,19472,325,41589,765,4073,430,5,1056,0
69,1,"Cedar Rapids, IA",16070,137150,102,"Cedar Rapids, IA",157513,38,93509,10712,38221,17118,39824,6882,55461,4143,137414,6992,4482,89,120,3918,355
71,1,"Charleston, WV",8780,102850,94,"Charleston, WV",93146,42,68480,11937,16250,13631,31074,8680,23476,1283,78202,8636,1274,64,0,3503,184
73,1,"Charlottesville, VA",4350,101770,54,"Charlottesville, VA",81099,34,92357,6778,22380,22511,13668,7189,15319,5573,56875,11066,5251,193,22,2067,52
75,1,"Cheyenne, WY",3360,41470,98,"Cheyenne, WY",34274,43,96731,856,8260,5449,6477,1336,12818,567,29095,1101,2728,130,0,653,0
77,1,"Chico, CA",4730,73600,42,"Chico, CA",111302,31,72754,13104,27101,14289,19297,8306,42339,4437,81137,1922,18938,382,192,4020,274
79,1,"Cleveland, TN",2660,35370,27,"Cleveland, TN",98124,38,64591,14001,13924,8448,30732,15649,29291,1194,84521,4778,6090,65,32,1271,173
81,1,"Colorado Springs, CO",27410,278200,65,"Colorado Springs, CO",423172,35,89122,35205,101914,68514,80702,25860,146224,10306,307347,20421,64840,1658,750,16607,1243
83,1,"Columbia, MO",6500,80320,43,"Columbia, MO",149625,27,50957,16955,41401,33012,28395,9331,37186,7233,114828,14770,5435,217,151,6659,332
85,1,"Columbia, SC",28500,373110,49,"Columbia, SC",585841,32,62972,64090,129762,83182,137308,53519,181070,14935,315859,206367,31817,1029,626,13816,1392
87,1,"Columbus, IN",4530,42950,64,"Columbus, IN",71264,38,76589,5988,13931,9833,22889,6648,17984,5064,58786,1340,4547,193,64,1145,125
89,1,"Columbus, OH",95620,1026560,95,"Columbus, OH",1004592,34,80418,126730,280397,176140,214676,84941,248486,59185,673600,188642,45677,1547,368,32947,2626
