,0
0,All Occupations
1,Management Occupations
2,General and Operations Managers
3,Public Relations and Fundraising Managers
4,Administrative Services and Facilities Managers
5,Computer and Information Systems Managers
6,Industrial Production Managers
7,"Transportation, Storage, and Distribution Managers"
8,Human Resources Managers
9,Construction Managers
10,Food Service Managers
11,Medical and Health Services Managers
12,Social and Community Service Managers
13,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other"
14,Business and Financial Operations Occupations
15,Buyers and Purchasing Agents
16,Compliance Officers
17,Cost Estimators
18,Human Resources Specialists
19,Logisticians
20,Management Analysts
21,Fundraisers
22,Training and Development Specialists
23,Market Research Analysts and Marketing Specialists
24,"Project Management Specialists and Business Operations Specialists, All Other"
25,Accountants and Auditors
26,Personal Financial Advisors
27,Loan Officers
28,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other"
29,Computer and Mathematical Occupations
30,Computer Systems Analysts
31,Computer User Support Specialists
32,Network and Computer Systems Administrators
33,Software Developers and Software Quality Assurance Analysts and Testers
34,"Computer Occupations, All Other"
35,Architecture and Engineering Occupations
36,"Architects, Except Landscape and Naval"
37,Surveyors
38,Civil Engineers
39,Electrical Engineers
40,Mechanical Engineers
41,Architectural and Civil Drafters
42,Civil Engineering Technologists and Technicians
43,"Life, Physical, and Social Science Occupations"
44,"Clinical, Counseling, and School Psychologists"
45,Occupational Health and Safety Specialists
46,Occupational Health and Safety Technicians
47,Community and Social Service Occupations
48,"Educational, Guidance, and Career Counselors and Advisors"
49,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"
50,"Child, Family, and School Social Workers"
51,Healthcare Social Workers
52,Mental Health and Substance Abuse Social Workers
53,Probation Officers and Correctional Treatment Specialists
54,Social and Human Service Assistants
55,Legal Occupations
56,Paralegals and Legal Assistants
57,Educational Instruction and Library Occupations
58,"Career/Technical Education Teachers, Postsecondary"
59,"Preschool Teachers, Except Special Education"
60,Self-Enrichment Teachers
61,"Substitute Teachers, Short-Term"
62,Librarians and Media Collections Specialists
63,Library Technicians
64,Instructional Coordinators
65,"Arts, Design, Entertainment, Sports, and Media Occupations"
66,Floral Designers
67,Graphic Designers
68,Merchandise Displayers and Window Trimmers
69,Public Relations Specialists
70,Healthcare Practitioners and Technical Occupations
71,Pharmacists
72,Physician Assistants
73,Occupational Therapists
74,Physical Therapists
75,Respiratory Therapists
76,Speech-Language Pathologists
77,Registered Nurses
78,Nurse Practitioners
79,Dental Hygienists
80,Clinical Laboratory Technologists and Technicians
81,Radiologic Technologists and Technicians
82,Emergency Medical Technicians and Paramedics
83,Pharmacy Technicians
84,Surgical Technologists
85,Veterinary Technologists and Technicians
86,Licensed Practical and Licensed Vocational Nurses
87,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other"
88,Healthcare Support Occupations
89,Home Health and Personal Care Aides
90,Nursing Assistants
91,Physical Therapist Aides
92,Dental Assistants
93,Medical Assistants
94,Medical Equipment Preparers
95,Phlebotomists
96,"Healthcare Support Workers, All Other"
97,Protective Service Occupations
98,First-Line Supervisors of Correctional Officers
99,First-Line Supervisors of Police and Detectives
100,Correctional Officers and Jailers
101,Detectives and Criminal Investigators
102,Police and Sheriff's Patrol Officers
103,Security Guards
104,Food Preparation and Serving Related Occupations
105,First-Line Supervisors of Food Preparation and Serving Workers
106,"Cooks, Fast Food"
107,"Cooks, Institution and Cafeteria"
108,"Cooks, Restaurant"
109,"Cooks, Short Order"
110,Food Preparation Workers
111,Bartenders
112,Fast Food and Counter Workers
113,Waiters and Waitresses
114,Dining Room and Cafeteria Attendants and Bartender Helpers
115,Dishwashers
116,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
117,Building and Grounds Cleaning and Maintenance Occupations
118,First-Line Supervisors of Housekeeping and Janitorial Workers
119,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
120,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
121,Maids and Housekeeping Cleaners
122,Pest Control Workers
123,Landscaping and Groundskeeping Workers
124,Personal Care and Service Occupations
125,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services"
126,Animal Caretakers
127,Amusement and Recreation Attendants
128,"Morticians, Undertakers, and Funeral Arrangers"
129,"Hairdressers, Hairstylists, and Cosmetologists"
130,Childcare Workers
131,Exercise Trainers and Group Fitness Instructors
132,Recreation Workers
133,Residential Advisors
134,Sales and Related Occupations
135,First-Line Supervisors of Retail Sales Workers
136,First-Line Supervisors of Non-Retail Sales Workers
137,Cashiers
138,Counter and Rental Clerks
139,Parts Salespersons
140,Retail Salespersons
141,Insurance Sales Agents
142,"Securities, Commodities, and Financial Services Sales Agents"
143,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
144,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
145,Real Estate Sales Agents
146,"Sales and Related Workers, All Other"
147,Office and Administrative Support Occupations
148,First-Line Supervisors of Office and Administrative Support Workers
149,Bill and Account Collectors
150,Billing and Posting Clerks
151,"Bookkeeping, Accounting, and Auditing Clerks"
152,Payroll and Timekeeping Clerks
153,Procurement Clerks
154,Tellers
155,"Court, Municipal, and License Clerks"
156,Customer Service Representatives
157,"Eligibility Interviewers, Government Programs"
158,File Clerks
159,"Hotel, Motel, and Resort Desk Clerks"
160,"Interviewers, Except Eligibility and Loan"
161,Loan Interviewers and Clerks
162,New Accounts Clerks
163,"Human Resources Assistants, Except Payroll and Timekeeping"
164,Receptionists and Information Clerks
165,"Information and Record Clerks, All Other"
166,Public Safety Telecommunicators
167,"Dispatchers, Except Police, Fire, and Ambulance"
168,Postal Service Clerks
169,Postal Service Mail Carriers
170,"Production, Planning, and Expediting Clerks"
171,"Shipping, Receiving, and Inventory Clerks"
172,Executive Secretaries and Executive Administrative Assistants
173,Medical Secretaries and Administrative Assistants
174,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
175,Data Entry Keyers
176,"Mail Clerks and Mail Machine Operators, Except Postal Service"
177,"Office Clerks, General"
178,"Farming, Fishing, and Forestry Occupations"
179,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
180,Construction and Extraction Occupations
181,First-Line Supervisors of Construction Trades and Extraction Workers
182,Boilermakers
183,Carpenters
184,Construction Laborers
185,Operating Engineers and Other Construction Equipment Operators
186,Drywall and Ceiling Tile Installers
187,Electricians
188,"Painters, Construction and Maintenance"
189,"Plumbers, Pipefitters, and Steamfitters"
190,Structural Iron and Steel Workers
191,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
192,Construction and Building Inspectors
193,Highway Maintenance Workers
194,"Derrick Operators, Oil and Gas"
195,"Rotary Drill Operators, Oil and Gas"
196,"Roustabouts, Oil and Gas"
197,"Installation, Maintenance, and Repair Occupations"
198,"First-Line Supervisors of Mechanics, Installers, and Repairers"
199,Aircraft Mechanics and Service Technicians
200,Automotive Body and Related Repairers
201,Automotive Service Technicians and Mechanics
202,Bus and Truck Mechanics and Diesel Engine Specialists
203,"Mobile Heavy Equipment Mechanics, Except Engines"
204,Tire Repairers and Changers
205,Industrial Machinery Mechanics
206,Medical Equipment Repairers
207,"Maintenance and Repair Workers, General"
208,"Helpers--Installation, Maintenance, and Repair Workers"
209,"Installation, Maintenance, and Repair Workers, All Other"
210,Production Occupations
211,First-Line Supervisors of Production and Operating Workers
212,Miscellaneous Assemblers and Fabricators
213,Bakers
214,Butchers and Meat Cutters
215,Machinists
216,"Welders, Cutters, Solderers, and Brazers"
217,Printing Press Operators
218,Laundry and Dry-Cleaning Workers
219,Water and Wastewater Treatment Plant and System Operators
220,"Inspectors, Testers, Sorters, Samplers, and Weighers"
221,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
222,Helpers--Production Workers
223,"Production Workers, All Other"
224,Transportation and Material Moving Occupations
225,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors"
226,Driver/Sales Workers
227,Heavy and Tractor-Trailer Truck Drivers
228,Light Truck Drivers
229,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity"
230,Industrial Truck and Tractor Operators
231,Cleaners of Vehicles and Equipment
232,"Laborers and Freight, Stock, and Material Movers, Hand"
233,"Packers and Packagers, Hand"
234,Stockers and Order Fillers
235,Wellhead Pumpers
236,Refuse and Recyclable Material Collectors
237,Chief Executives
238,Sales Managers
239,Financial Managers
240,"Education Administrators, Postsecondary"
241,"Education Administrators, All Other"
242,Architectural and Engineering Managers
243,Computer Hardware Engineers
244,Industrial Engineers
245,Electrical and Electronic Engineering Technologists and Technicians
246,Industrial Engineering Technologists and Technicians
247,Chemical Technicians
248,Family Medicine Physicians
249,Funeral Attendants
250,Couriers and Messengers
251,Legal Secretaries and Administrative Assistants
252,Word Processors and Typists
253,Cement Masons and Concrete Finishers
254,Helpers--Carpenters
255,Helpers--Electricians
256,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
257,Telecommunications Line Installers and Repairers
258,Food Batchmakers
259,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
260,Training and Development Managers
261,"Education and Childcare Administrators, Preschool and Daycare"
262,Lodging Managers
263,Natural Sciences Managers
264,"Property, Real Estate, and Community Association Managers"
265,"Claims Adjusters, Examiners, and Investigators"
266,Labor Relations Specialists
267,"Meeting, Convention, and Event Planners"
268,"Compensation, Benefits, and Job Analysis Specialists"
269,Property Appraisers and Assessors
270,Credit Analysts
271,Insurance Underwriters
272,Financial Examiners
273,Credit Counselors
274,Information Security Analysts
275,Computer Network Support Specialists
276,Computer Network Architects
277,Database Administrators and Architects
278,Computer Programmers
279,Web Developers and Digital Interface Designers
280,Operations Research Analysts
281,"Data Scientists and Mathematical Science Occupations, All Other"
282,Chemical Engineers
283,"Electronics Engineers, Except Computer"
284,Environmental Engineers
285,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
286,Materials Engineers
287,"Engineers, All Other"
288,Electrical and Electronics Drafters
289,Mechanical Drafters
290,"Drafters, All Other"
291,Mechanical Engineering Technologists and Technicians
292,Surveying and Mapping Technicians
293,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other"
294,Zoologists and Wildlife Biologists
295,Conservation Scientists
296,Foresters
297,"Medical Scientists, Except Epidemiologists"
298,Chemists
299,"Environmental Scientists and Specialists, Including Health"
300,Urban and Regional Planners
301,Biological Technicians
302,"Environmental Science and Protection Technicians, Including Health"
303,Forensic Science Technicians
304,"Life, Physical, and Social Science Technicians, All Other"
305,Rehabilitation Counselors
306,"Social Workers, All Other"
307,Health Education Specialists
308,Community Health Workers
309,"Community and Social Service Specialists, All Other"
310,Clergy
311,"Administrative Law Judges, Adjudicators, and Hearing Officers"
312,Art Directors
313,Commercial and Industrial Designers
314,Interior Designers
315,Producers and Directors
316,Broadcast Announcers and Radio Disc Jockeys
317,"News Analysts, Reporters, and Journalists"
318,Editors
319,Technical Writers
320,Writers and Authors
321,Interpreters and Translators
322,"Media and Communication Workers, All Other"
323,Audio and Video Technicians
324,Photographers
325,Dietitians and Nutritionists
326,Audiologists
327,Cardiovascular Technologists and Technicians
328,Diagnostic Medical Sonographers
329,Nuclear Medicine Technologists
330,Magnetic Resonance Imaging Technologists
331,Dietetic Technicians
332,"Opticians, Dispensing"
333,Orthotists and Prosthetists
334,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other"
335,Orderlies
336,Occupational Therapy Assistants
337,Physical Therapist Assistants
338,Massage Therapists
339,Veterinary Assistants and Laboratory Animal Caretakers
340,First-Line Supervisors of Firefighting and Prevention Workers
341,"Miscellaneous First-Line Supervisors, Protective Service Workers"
342,Firefighters
343,Bailiffs
344,Crossing Guards and Flaggers
345,Chefs and Head Cooks
346,"Food Servers, Nonrestaurant"
347,"Ushers, Lobby Attendants, and Ticket Takers"
348,Tour and Travel Guides
349,Advertising Sales Agents
350,Travel Agents
351,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
352,Demonstrators and Product Promoters
353,Sales Engineers
354,Telemarketers
355,"Switchboard Operators, Including Answering Service"
356,"Library Assistants, Clerical"
357,Order Clerks
358,Reservation and Transportation Ticket Agents and Travel Clerks
359,Cargo and Freight Agents
360,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
361,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
362,Insurance Claims and Policy Processing Clerks
363,"Office Machine Operators, Except Computer"
364,Statistical Assistants
365,"Office and Administrative Support Workers, All Other"
366,Brickmasons and Blockmasons
367,Glaziers
368,Roofers
369,Hazardous Materials Removal Workers
370,Septic Tank Servicers and Sewer Pipe Cleaners
371,"Computer, Automated Teller, and Office Machine Repairers"
372,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
373,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
374,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
375,Security and Fire Alarm Systems Installers
376,Outdoor Power Equipment and Other Small Engine Mechanics
377,Mechanical Door Repairers
378,"Control and Valve Installers and Repairers, Except Mechanical Door"
379,"Maintenance Workers, Machinery"
380,Millwrights
381,Electrical Power-Line Installers and Repairers
382,"Coin, Vending, and Amusement Machine Servicers and Repairers"
383,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers"
384,Structural Metal Fabricators and Fitters
385,"Meat, Poultry, and Fish Cutters and Trimmers"
386,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
387,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
388,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
389,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
390,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
391,Metal-Refining Furnace Operators and Tenders
392,"Pourers and Casters, Metal"
393,Foundry Mold and Coremakers
394,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
395,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
396,Tool and Die Makers
397,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
398,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
399,Prepress Technicians and Workers
400,Print Binding and Finishing Workers
401,Sewing Machine Operators
402,Cabinetmakers and Bench Carpenters
403,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
404,"Grinding and Polishing Workers, Hand"
405,"Mixing and Blending Machine Setters, Operators, and Tenders"
406,"Cutting and Slicing Machine Setters, Operators, and Tenders"
407,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
408,Jewelers and Precious Stone and Metal Workers
409,Dental Laboratory Technicians
410,Medical Appliance Technicians
411,Packaging and Filling Machine Operators and Tenders
412,Computer Numerically Controlled Tool Operators
413,Computer Numerically Controlled Tool Programmers
414,"Paper Goods Machine Setters, Operators, and Tenders"
415,"Bus Drivers, Transit and Intercity"
416,"Motor Vehicle Operators, All Other"
417,Parking Attendants
418,Automotive and Watercraft Service Attendants
419,Crane and Tower Operators
420,Machine Feeders and Offbearers
421,"Educational Instruction and Library Workers, All Other"
422,Agricultural Equipment Operators
423,"Paving, Surfacing, and Tamping Equipment Operators"
424,Sheet Metal Workers
425,"Helpers, Construction Trades, All Other"
426,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
427,Marketing Managers
428,Purchasing Managers
429,Agricultural and Food Science Technicians
430,Lawyers
431,Pharmacy Aides
432,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
433,"School Bus Monitors and Protective Service Workers, All Other"
434,Logging Equipment Operators
435,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
436,Farm Equipment Mechanics and Service Technicians
437,"Sawing Machine Setters, Operators, and Tenders, Wood"
438,Chemical Equipment Operators and Tenders
439,"Material Moving Workers, All Other"
440,Advertising and Promotions Managers
441,Postmasters and Mail Superintendents
442,Emergency Management Directors
443,"Insurance Appraisers, Auto Damage"
444,Budget Analysts
445,"Tax Examiners and Collectors, and Revenue Agents"
446,Tax Preparers
447,Computer and Information Research Scientists
448,Statisticians
449,Landscape Architects
450,Bioengineers and Biomedical Engineers
451,Environmental Engineering Technologists and Technicians
452,Food Scientists and Technologists
453,Biochemists and Biophysicists
454,"Biological Scientists, All Other"
455,Atmospheric and Space Scientists
456,Materials Scientists
457,"Geoscientists, Except Hydrologists and Geographers"
458,Economists
459,"Psychologists, All Other"
460,Historians
461,"Social Scientists and Related Workers, All Other"
462,Geological and Hydrologic Technicians
463,"Directors, Religious Activities and Education"
464,"Title Examiners, Abstractors, and Searchers"
465,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
466,Curators
467,Museum Technicians and Conservators
468,Special Effects Artists and Animators
469,Broadcast Technicians
470,"Camera Operators, Television, Video, and Film"
471,Optometrists
472,Podiatrists
473,Radiation Therapists
474,Recreational Therapists
475,Veterinarians
476,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other"
477,Ophthalmic Medical Technicians
478,Psychiatric Aides
479,Medical Transcriptionists
480,Fire Inspectors and Investigators
481,Animal Control Workers
482,Transportation Security Screeners
483,Manicurists and Pedicurists
484,Skincare Specialists
485,Concierges
486,"Crematory Operators and Personal Care and Service Workers, All Other"
487,Models
488,"Financial Clerks, All Other"
489,Brokerage Clerks
490,"Credit Authorizers, Checkers, and Clerks"
491,Tile and Stone Setters
492,Elevator and Escalator Installers and Repairers
493,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters"
494,Locksmiths and Safe Repairers
495,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
496,"Food Processing Workers, All Other"
497,Upholsterers
498,Furniture Finishers
499,Power Plant Operators
500,Stationary Engineers and Boiler Operators
501,Chemical Plant and System Operators
502,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
503,"Cutters and Trimmers, Hand"
504,Adhesive Bonding Machine Operators and Tenders
505,Traffic Technicians
506,Transportation Inspectors
507,Aerospace Engineers
508,Aerospace Engineering and Operations Technologists and Technicians
509,Microbiologists
510,Epidemiologists
511,Physicists
512,Hydrologists
513,"Physical Scientists, All Other"
514,Anthropologists and Archeologists
515,Forest and Conservation Technicians
516,Marriage and Family Therapists
517,"Judges, Magistrate Judges, and Magistrates"
518,"Legal Support Workers, All Other"
519,Set and Exhibit Designers
520,Sound Engineering Technicians
521,"Therapists, All Other"
522,Nurse Midwives
523,Private Detectives and Investigators
524,Gambling Surveillance Officers and Gambling Investigators
525,First-Line Supervisors of Gambling Services Workers
526,Animal Trainers
527,Gambling Dealers
528,Baggage Porters and Bellhops
529,Gambling Change Persons and Booth Cashiers
530,Gambling Cage Workers
531,"Meter Readers, Utilities"
532,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
533,Pipelayers
534,Plasterers and Stucco Masons
535,Audiovisual Equipment Installers and Repairers
536,Motorcycle Mechanics
537,Home Appliance Repairers
538,Riggers
539,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
540,"Metal Workers and Plastic Workers, All Other"
541,"Pressers, Textile, Garment, and Related Materials"
542,"Plant and System Operators, All Other"
543,Ophthalmic Laboratory Technicians
544,Semiconductor Processing Technicians
545,"Aircraft Service Attendants and Transportation Workers, All Other"
546,Psychiatric Technicians
547,Miscellaneous Construction and Related Workers
548,Social Science Research Assistants
549,Judicial Law Clerks
550,Chiropractors
551,"Food Preparation and Serving Related Workers, All Other"
552,"Locker Room, Coatroom, and Dressing Room Attendants"
553,Correspondence Clerks
554,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
555,"Patternmakers, Metal and Plastic"
556,"Molders, Shapers, and Casters, Except Metal and Plastic"
557,Aircraft Cargo Handling Supervisors
558,Conveyor Operators and Tenders
559,Animal Scientists
560,Soil and Plant Scientists
561,"Cooks, All Other"
562,"Insulation Workers, Mechanical"
563,Compensation and Benefits Managers
564,Cartographers and Photogrammetrists
565,"Arbitrators, Mediators, and Conciliators"
566,Film and Video Editors
567,"Grounds Maintenance Workers, All Other"
568,Avionics Technicians
569,Motorboat Mechanics and Service Technicians
570,Gas Plant Operators
571,Airfield Operations Specialists
572,Survey Researchers
573,Archivists
574,Exercise Physiologists
575,"Pediatricians, General"
576,Food Cooking Machine Operators and Tenders
577,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
578,"Fine Artists, Including Painters, Sculptors, and Illustrators"
579,Nurse Anesthetists
580,Real Estate Brokers
581,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
582,Farm and Home Management Educators
583,Agricultural Inspectors
584,"Rock Splitters, Quarry"
585,Funeral Home Managers
586,"Agents and Business Managers of Artists, Performers, and Athletes"
587,Actuaries
588,Nuclear Engineers
589,"Life Scientists, All Other"
590,"Counselors, All Other"
591,"Religious Workers, All Other"
592,Craft Artists
593,"Artists and Related Workers, All Other"
594,Fashion Designers
595,"Designers, All Other"
596,Music Directors and Composers
597,"Lighting Technicians and Media and Communication Equipment Workers, All Other"
598,Hearing Aid Specialists
599,Occupational Therapy Aides
600,Forest Fire Inspectors and Prevention Specialists
601,Fish and Game Wardens
602,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
603,Tree Trimmers and Pruners
604,Shampooers
605,Telephone Operators
606,Desktop Publishers
607,Proofreaders and Copy Markers
608,"Graders and Sorters, Agricultural Products"
609,"Insulation Workers, Floor, Ceiling, and Wall"
610,Reinforcing Iron and Rebar Workers
611,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
612,"Radio, Cellular, and Tower Equipment Installers and Repairers"
613,"Electric Motor, Power Tool, and Related Repairers"
614,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
615,Recreational Vehicle Service Technicians
616,"Coil Winders, Tapers, and Finishers"
617,Slaughterers and Meat Packers
618,"Model Makers, Metal and Plastic"
619,"Tailors, Dressmakers, and Custom Sewers"
620,Textile Bleaching and Dyeing Machine Operators and Tenders
621,"Textile Cutting Machine Setters, Operators, and Tenders"
622,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
623,"Textile, Apparel, and Furnishings Workers, All Other"
624,Power Distributors and Dispatchers
625,Photographic Process Workers and Processing Machine Operators
626,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
627,Cooling and Freezing Equipment Operators and Tenders
628,Etchers and Engravers
629,Tire Builders
630,Air Traffic Controllers
631,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
632,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
633,Passenger Attendants
634,Gambling Managers
635,Engine and Other Machine Assemblers
636,"Mining and Geological Engineers, Including Mining Safety Engineers"
637,Electro-Mechanical and Mechatronics Technologists and Technicians
638,Geographers
639,Court Reporters and Simultaneous Captioners
640,Parking Enforcement Workers
641,Motion Picture Projectionists
642,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
643,Bicycle Repairers
644,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
645,"Pump Operators, Except Wellhead Pumpers"
646,"Farmers, Ranchers, and Other Agricultural Managers"
647,"Agricultural Workers, All Other"
648,Solar Photovoltaic Installers
649,"Service Unit Operators, Oil and Gas"
650,Helpers--Extraction Workers
651,Wind Turbine Service Technicians
652,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
653,Mathematicians
654,Marine Engineers and Naval Architects
655,Stonemasons
656,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
657,"Precision Instrument and Equipment Repairers, All Other"
658,"Tool Grinders, Filers, and Sharpeners"
659,"Woodworkers, All Other"
660,Sailors and Marine Oilers
661,"Captains, Mates, and Pilots of Water Vessels"
662,Hoist and Winch Operators
663,Petroleum Engineers
664,"Gambling Service Workers, All Other"
665,Pile Driver Operators
666,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
667,Rail-Track Laying and Maintenance Equipment Operators
668,"Underground Mining Machine Operators and Extraction Workers, All Other"
669,Rail Car Repairers
670,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
671,Bridge and Lock Tenders
672,Fence Erectors
673,"Layout Workers, Metal and Plastic"
674,"Logging Workers, All Other"
675,Tapers
676,Continuous Mining Machine Operators
677,"Loading and Moving Machine Operators, Underground Mining"
678,Automotive Glass Installers and Repairers
679,General Internal Medicine Physicians
680,"Tank Car, Truck, and Ship Loaders"
681,"Dentists, General"
682,Motorboat Operators
683,Gas Compressor and Gas Pumping Station Operators
684,Forest and Conservation Workers
685,Fiberglass Laminators and Fabricators
686,Ship Engineers
687,Carpet Installers
688,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
689,"Painting, Coating, and Decorating Workers"
690,Fallers
691,Political Scientists
692,Nuclear Technicians
693,Genetic Counselors
694,Gambling and Sports Book Writers and Runners
695,Costume Attendants
696,Terrazzo Workers and Finishers
697,Helpers--Roofers
698,Camera and Photographic Equipment Repairers
699,Shoe and Leather Workers and Repairers
700,"Sewers, Hand"
701,Fabric and Apparel Patternmakers
702,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
703,Sociologists
704,Barbers
705,"Communications Equipment Operators, All Other"
706,"Electronic Equipment Installers and Repairers, Motor Vehicles"
707,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
708,"Building Cleaning Workers, All Other"
709,Musical Instrument Repairers and Tuners
710,Log Graders and Scalers
711,"Physicians, All Other; and Ophthalmologists, Except Pediatric"
712,Commercial Divers
713,"Entertainment Attendants and Related Workers, All Other"
714,Embalmers
715,Railroad Conductors and Yardmasters
716,"Dentists, All Other Specialists"
717,Paperhangers
718,Animal Breeders
719,"Makeup Artists, Theatrical and Performance"
720,Watch and Clock Repairers
721,"Rail Transportation Workers, All Other"
722,Choreographers
723,Nuclear Power Reactor Operators
724,Dredge Operators
725,Transit and Railroad Police
726,Signal and Track Switch Repairers
727,Shoe Machine Operators and Tenders
728,Locomotive Engineers
729,Floor Sanders and Finishers
730,Manufactured Building and Mobile Home Installers
731,Agricultural Engineers
732,Astronomers
733,"Roof Bolters, Mining"
