,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_household_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
0,"Abilene, TX",23.206000000000003,1540.0,175.5,595525,27,49583,65576,88809,48545,179032,75166,203007,15771,373695,60179,127687,3668,105,13020,1400
1,"Akron, OH",48.893,15220.0,72.4,569364,33,42943,153048,64614,33666,202530,82452,186078,12984,326940,188958,10566,804,132,28590,390
2,"Albany, GA",20.677000000000003,1210.0,110.19999999999999,389304,37,59234,82980,56190,43410,108024,54222,127302,5688,124110,240600,10422,576,144,7446,318
3,"Albuquerque, NM",44.266,16570.0,78.30000000000001,2239937,35,61589,296142,463533,398986,465185,175721,737709,59059,1077160,66815,885493,95242,1491,47565,7112
4,"Alexandria, LA",7.441,420.0,25.1,118368,38,57892,21910,15536,10630,42038,18118,32060,3712,47766,61566,2988,412,14,1848,62
5,"Amarillo, TX",19.341000000000005,2190.0,79.60000000000001,1378349,35,67009,187187,191191,91063,372456,247982,475615,49308,764267,95760,432621,4501,1015,29624,1253
6,"Ames, IA",64.999,2830.0,198.3,484323,22,35781,16394,136955,137018,91217,10780,97230,47691,391027,11781,16464,1225,238,15799,98
7,"Anchorage, AK",31.069000000000003,5110.0,81.2,6069567,33,102234,334110,1334907,765198,1424094,403557,2140761,566433,3553074,328545,543333,420504,145761,497259,14658
8,"Ann Arbor, MI",83.20800000000001,17330.0,79.0,904190,29,74733,39249,272454,376488,72555,26614,156044,108885,659127,62020,33964,1617,371,36855,1351
9,"Asheville, NC",22.527,4150.0,61.5,268704,44,65450,21930,59694,33468,70446,26484,78798,636,236526,9666,17484,510,294,3474,114
10,"Athens-Clarke County, GA",36.217,3070.0,71.2,352632,23,30401,52144,80948,88512,60576,30364,83436,20180,224800,75400,24760,244,24,6800,424
11,"Bakersfield, CA",21.75,6650.0,57.2,1392610,30,55990,296975,162445,91435,384000,330600,423940,71615,432735,95665,757440,4990,1765,26580,1820
12,"Barnstable Town, MA",19.575,1820.0,72.1,181839,52,129847,6867,47915,35259,37499,6300,54782,511,172774,1981,3318,84,0,2030,1141
13,"Baton Rouge, LA",25.655,9540.0,78.5,1018941,25,44470,194628,192927,142618,275268,136745,271663,40124,382774,541492,38003,2065,105,13825,553
14,"Bay City, MI",18.161,560.0,77.29999999999998,196940,43,60679,22645,25995,13190,65185,19890,72670,1395,178690,2690,9060,245,0,4815,45
15,"Billings, MT",22.772999999999996,1920.0,99.3,664839,39,92247,37359,156982,69510,178164,37443,223013,4494,593572,3724,29652,17829,315,15001,252
16,"Bismarck, ND",31.872,2170.0,84.3,435778,37,86660,18130,116620,45696,94626,24731,154063,4697,393785,8498,8932,12173,273,7133,287
17,"Bloomington, IN",63.705,4340.0,96.2,233177,20,18097,32018,69181,76419,27342,13132,47222,22603,191765,4410,7945,182,112,6048,112
18,"Boise City, ID",60.431000000000004,20180.0,82.8,252427,38,82602,35301,64925,33453,56455,17395,80227,5194,208642,5187,22883,1631,21,8582,287
19,"Boulder, CO",153.381,27840.0,64.5,41610,19,14543,0,0,34158,0,0,7446,4734,30372,648,4470,36,390,924,36
