,istech,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other,city,state_code
0,0,"Abilene, TX",12.048519650655026,182230.0,18.251528384279474,85075,27,49583,9368,12687,6935,25576,10738,29001,2253,53385,8597,18241,524,15,1860,200,Abilene, TX
1,1,"Abilene, TX",8.40925,4450.0,22.5,85075,27,49583,9368,12687,6935,25576,10738,29001,2253,53385,8597,18241,524,15,1860,200,Abilene, TX
2,0,"Akron, OH",7.321090185676392,859710.0,19.45092838196288,94894,33,42943,25508,10769,5611,33755,13742,31013,2164,54490,31493,1761,134,22,4765,65,Akron, OH
3,1,"Akron, OH",6.404352941176471,33910.0,18.88235294117647,94894,33,42943,25508,10769,5611,33755,13742,31013,2164,54490,31493,1761,134,22,4765,65,Akron, OH
4,0,"Albany, GA",13.685161458333333,153970.0,18.69270833333334,64884,37,59234,13830,9365,7235,18004,9037,21217,948,20685,40100,1737,96,24,1241,53,Albany, GA
5,1,"Albany, GA",10.04742857142857,4120.0,16.414285714285715,64884,37,59234,13830,9365,7235,18004,9037,21217,948,20685,40100,1737,96,24,1241,53,Albany, GA
6,0,"Albuquerque, NM",6.598983372921624,1040140.0,16.33159144893113,319991,35,61589,42306,66219,56998,66455,25103,105387,8437,153880,9545,126499,13606,213,6795,1016,Albuquerque, NM
7,1,"Albuquerque, NM",6.331062499999998,37920.0,14.9,319991,35,61589,42306,66219,56998,66455,25103,105387,8437,153880,9545,126499,13606,213,6795,1016,Albuquerque, NM
8,0,"Alexandria, LA",13.515039800995032,155190.0,18.862686567164182,59184,38,57892,10955,7768,5315,21019,9059,16030,1856,23883,30783,1494,206,7,924,31,Alexandria, LA
9,1,"Alexandria, LA",12.72975,2900.0,17.975,59184,38,57892,10955,7768,5315,21019,9059,16030,1856,23883,30783,1494,206,7,924,31,Alexandria, LA
10,0,"Amarillo, TX",10.519027777777776,299770.0,20.11349206349206,196907,35,67009,26741,27313,13009,53208,35426,67945,7044,109181,13680,61803,643,145,4232,179,Amarillo, TX
11,1,"Amarillo, TX",6.5245999999999995,7380.0,12.05,196907,35,67009,26741,27313,13009,53208,35426,67945,7044,109181,13680,61803,643,145,4232,179,Amarillo, TX
12,0,"Ames, IA",14.40655865921788,112150.0,17.626256983240225,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14,Ames, IA
13,1,"Ames, IA",12.974700000000002,5650.0,25.19,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14,Ames, IA
14,0,"Anchorage, AK",7.9073641618497135,450130.0,17.73439306358381,867081,33,102234,47730,190701,109314,203442,57651,305823,80919,507582,46935,77619,60072,20823,71037,2094,Anchorage, AK
15,1,"Anchorage, AK",6.897937500000001,18150.0,14.69375,867081,33,102234,47730,190701,109314,203442,57651,305823,80919,507582,46935,77619,60072,20823,71037,2094,Anchorage, AK
16,0,"Ann Arbor, MI",8.392640127388534,549080.0,18.909872611464966,129170,29,74733,5607,38922,53784,10365,3802,22292,15555,94161,8860,4852,231,53,5265,193,Ann Arbor, MI
17,1,"Ann Arbor, MI",5.698687500000001,19000.0,13.0125,129170,29,74733,5607,38922,53784,10365,3802,22292,15555,94161,8860,4852,231,53,5265,193,Ann Arbor, MI
18,0,"Asheville, NC",8.20987610619469,512460.0,17.031858407079643,44784,44,65450,3655,9949,5578,11741,4414,13133,106,39421,1611,2914,85,49,579,19,Asheville, NC
19,1,"Asheville, NC",5.040692307692306,12070.0,18.361538461538462,44784,44,65450,3655,9949,5578,11741,4414,13133,106,39421,1611,2914,85,49,579,19,Asheville, NC
20,0,"Athens-Clarke County, GA",11.276108225108214,221000.0,16.436796536796543,88158,23,30401,13036,20237,22128,15144,7591,20859,5045,56200,18850,6190,61,6,1700,106,Athens-Clarke County, GA
