,0,139,59,2,1,3,397,51,8,2,0,0
0,Abilene,,,,,, TX,,,,,
1,Aguadilla,,,,,, PR,,,,,
,Isabela,,,,,,,,,,,
2,Akron,,,,,, OH,,,,,
3,Albany,,,,,, GA,,,,,
4,Albany,,,,,, OR,,,,,
5,Albany,Schenectady,Troy,,,, NY,,,,,
6,Albuquerque,,,,,, NM,,,,,
7,Alexandria,,,,,, LA,,,,,
8,Allentown,Bethlehem,Easton,,,, PA,NJ,,,,
9,Altoona,,,,,, PA,,,,,
10,Amarillo,,,,,, TX,,,,,
11,Ames,,,,,, IA,,,,,
12,Anchorage,,,,,, AK,,,,,
13,Ann Arbor,,,,,, MI,,,,,
14,Anniston,Oxford,Jacksonville,,,, AL,,,,,
15,Appleton,,,,,, WI,,,,,
16,Arecibo,,,,,, PR,,,,,
17,Asheville,,,,,, NC,,,,,
18,Athens,Clarke County,,,,, GA,,,,,
19,Atlanta,Sandy Springs,Roswell,,,, GA,,,,,
20,Atlantic City,Hammonton,,,,, NJ,,,,,
21,Auburn,Opelika,,,,, AL,,,,,
22,Augusta,Richmond County,,,,, GA,SC,,,,
23,Austin,Round Rock,,,,, TX,,,,,
24,Bakersfield,,,,,, CA,,,,,
25,Baltimore,Columbia,Towson,,,, MD,,,,,
26,Baton Rouge,,,,,, LA,,,,,
27,Battle Creek,,,,,, MI,,,,,
28,Bay City,,,,,, MI,,,,,
29,Beaumont,Port Arthur,,,,, TX,,,,,
30,Beckley,,,,,, WV,,,,,
31,Bellingham,,,,,, WA,,,,,
32,Bend,Redmond,,,,, OR,,,,,
33,Billings,,,,,, MT,,,,,
34,Binghamton,,,,,, NY,,,,,
35,Birmingham,Hoover,,,,, AL,,,,,
36,Bismarck,,,,,, ND,,,,,
37,Blacksburg,Christiansburg,Radford,,,, VA,,,,,
38,Bloomington,,,,,, IL,,,,,
39,Bloomington,,,,,, IN,,,,,
40,Bloomsburg,Berwick,,,,, PA,,,,,
41,Boise City,,,,,, ID,,,,,
42,Boulder,,,,,, CO,,,,,
43,Bowling Green,,,,,, KY,,,,,
44,Bremerton,Silverdale,,,,, WA,,,,,
45,Brownsville,Harlingen,,,,, TX,,,,,
46,Brunswick,,,,,, GA,,,,,
47,Buffalo,Cheektowaga,Niagara Falls,,,, NY,,,,,
48,Burlington,,,,,, NC,,,,,
49,California,Lexington Park,,,,, MD,,,,,
50,Canton,Massillon,,,,, OH,,,,,
51,Cape Coral,Fort Myers,,,,, FL,,,,,
52,Cape Girardeau,,,,,, MO,IL,,,,
53,Carbondale,Marion,,,,, IL,,,,,
54,Carson City,,,,,, NV,,,,,
55,Casper,,,,,, WY,,,,,
56,Cedar Rapids,,,,,, IA,,,,,
57,Chambersburg,Waynesboro,,,,, PA,,,,,
58,Champaign,Urbana,,,,, IL,,,,,
59,Charleston,,,,,, WV,,,,,
60,Charleston,North Charleston,,,,, SC,,,,,
61,Charlotte,Concord,Gastonia,,,, NC,SC,,,,
62,Charlottesville,,,,,, VA,,,,,
63,Chattanooga,,,,,, TN,GA,,,,
64,Cheyenne,,,,,, WY,,,,,
65,Chicago,Naperville,Elgin,,,, IL,IN,WI,,,
66,Chico,,,,,, CA,,,,,
67,Cincinnati,,,,,, OH,KY,IN,,,
68,Clarksville,,,,,, TN,KY,,,,
69,Cleveland,,,,,, TN,,,,,
70,Cleveland,Elyria,,,,, OH,,,,,
71,Coeur d'Alene,,,,,, ID,,,,,
72,College Station,Bryan,,,,, TX,,,,,
73,Colorado Springs,,,,,, CO,,,,,
74,Columbia,,,,,, MO,,,,,
75,Columbia,,,,,, SC,,,,,
76,Columbus,,,,,, GA,AL,,,,
77,Columbus,,,,,, IN,,,,,
78,Columbus,,,,,, OH,,,,,
79,Corpus Christi,,,,,, TX,,,,,
80,Corvallis,,,,,, OR,,,,,
81,Crestview,Fort Walton Beach,Destin,,,, FL,,,,,
82,Cumberland,,,,,, MD,WV,,,,
83,Dallas,Fort Worth,Arlington,,,, TX,,,,,
84,Dalton,,,,,, GA,,,,,
85,Danville,,,,,, IL,,,,,
86,Daphne,Fairhope,Foley,,,, AL,,,,,
87,Davenport,Moline,Rock Island,,,, IA,IL,,,,
88,Dayton,,,,,, OH,,,,,
89,Decatur,,,,,, AL,,,,,
90,Decatur,,,,,, IL,,,,,
91,Deltona,Daytona Beach,Ormond Beach,,,, FL,,,,,
92,Denver,Aurora,Lakewood,,,, CO,,,,,
93,Des Moines,West Des Moines,,,,, IA,,,,,
,Des Moines,West Des Moines,,,,, IA,,,,,
94,Detroit,Warren,Dearborn,,,, MI,,,,,
95,Dothan,,,,,, AL,,,,,
96,Dover,,,,,, DE,,,,,
97,Dubuque,,,,,, IA,,,,,
98,Duluth,,,,,, MN,WI,,,,
99,Durham,Chapel Hill,,,,, NC,,,,,
100,East Stroudsburg,,,,,, PA,,,,,
101,Eau Claire,,,,,, WI,,,,,
102,El Centro,,,,,, CA,,,,,
103,Elizabethtown,Fort Knox,,,,, KY,,,,,
104,Elkhart,Goshen,,,,, IN,,,,,
105,Elmira,,,,,, NY,,,,,
106,El Paso,,,,,, TX,,,,,
107,Enid,,,,,, OK,,,,,
108,Erie,,,,,, PA,,,,,
109,Eugene,,,,,, OR,,,,,
110,Evansville,,,,,, IN,KY,,,,
111,Fairbanks,,,,,, AK,,,,,
112,Fargo,,,,,, ND,MN,,,,
113,Farmington,,,,,, NM,,,,,
