,occ_code,occ_title,o_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse
0,00-0000,All Occupations,total,139099570.0,0.1,27.07,56310.0,0.1
1,11-0000,Management Occupations,major,7947300.0,0.2,60.81,126480.0,0.2
2,11-1000,Top Executives,minor,2601070.0,0.4,62.46,129920.0,0.2
3,11-1010,Chief Executives,broad,202360.0,1.0,95.12,197840.0,0.5
4,11-1011,Chief Executives,detailed,202360.0,1.0,95.12,197840.0,0.5
5,11-1020,General and Operations Managers,broad,2347420.0,0.4,60.45,125740.0,0.2
6,11-1021,General and Operations Managers,detailed,2347420.0,0.4,60.45,125740.0,0.2
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,763970.0,0.6,71.51,148740.0,0.3
10,11-2010,Advertising and Promotions Managers,broad,22490.0,3.2,70.94,147560.0,1.4
11,11-2011,Advertising and Promotions Managers,detailed,22490.0,3.2,70.94,147560.0,1.4
12,11-2020,Marketing and Sales Managers,broad,660380.0,0.6,72.31,150400.0,0.3
13,11-2021,Marketing Managers,detailed,270200.0,1.0,74.27,154470.0,0.4
14,11-2022,Sales Managers,detailed,390170.0,0.7,70.95,147580.0,0.3
15,11-2030,Public Relations and Fundraising Managers,broad,81110.0,1.4,65.18,135580.0,0.8
16,11-2030,Public Relations and Fundraising Managers,detailed,81110.0,1.4,65.18,135580.0,0.8
17,11-3000,Operations Specialties Managers,minor,2012370.0,0.3,66.63,138590.0,0.2
18,11-3010,Administrative Services and Facilities Managers,broad,307620.0,0.6,51.98,108120.0,0.3
19,11-3010,Administrative Services and Facilities Managers,detailed,307620.0,0.6,51.98,108120.0,0.3
20,11-3020,Computer and Information Systems Managers,broad,457290.0,0.7,77.76,161730.0,0.3
21,11-3021,Computer and Information Systems Managers,detailed,457290.0,0.7,77.76,161730.0,0.3
22,11-3030,Financial Managers,broad,653080.0,0.5,72.84,151510.0,0.3
23,11-3031,Financial Managers,detailed,653080.0,0.5,72.84,151510.0,0.3
24,11-3050,Industrial Production Managers,broad,179570.0,0.8,56.82,118190.0,0.3
25,11-3051,Industrial Production Managers,detailed,179570.0,0.8,56.82,118190.0,0.3
26,11-3060,Purchasing Managers,broad,70960.0,0.9,63.78,132660.0,0.4
27,11-3061,Purchasing Managers,detailed,70960.0,0.9,63.78,132660.0,0.4
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,132210.0,1.0,50.53,105100.0,0.4
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,132210.0,1.0,50.53,105100.0,0.4
30,11-3110,Compensation and Benefits Managers,broad,16340.0,2.1,65.94,137160.0,1.0
31,11-3111,Compensation and Benefits Managers,detailed,16340.0,2.1,65.94,137160.0,1.0
32,11-3120,Human Resources Managers,broad,156600.0,0.6,64.7,134580.0,0.3
33,11-3121,Human Resources Managers,detailed,156600.0,0.6,64.7,134580.0,0.3
34,11-3130,Training and Development Managers,broad,38710.0,1.3,60.54,125920.0,0.5
35,11-3131,Training and Development Managers,detailed,38710.0,1.3,60.54,125920.0,0.5
36,11-9000,Other Management Occupations,minor,2569880.0,0.3,51.4,106910.0,0.2
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,5670.0,13.5,36.93,76810.0,6.2
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5670.0,13.5,36.93,76810.0,6.2
39,11-9020,Construction Managers,broad,285640.0,1.0,51.57,107260.0,0.5
