,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90
0,00-0000,All Occupations,total,144733270,0.1,24.98,51960.0,0.1,9.95,12.37,18.58,30.06,47.31,20690,25740,38640,62510,98410
1,11-0000,Management Occupations,major,7616650,0.2,58.44,121560.0,0.1,23.68,34.08,50.11,72.93,#,49260,70880,104240,151700,#
2,11-1000,Top Executives,minor,2535640,0.3,61.66,128240.0,0.2,20.86,31.73,49.73,78.81,#,43400,66000,103450,163930,#
3,11-1010,Chief Executives,broad,195530,0.7,96.22,200140.0,0.5,32.86,55.75,91.15,#,#,68360,115960,189600,#,#
4,11-1011,Chief Executives,detailed,195530,0.7,96.22,200140.0,0.5,32.86,55.75,91.15,#,#,68360,115960,189600,#,#
5,11-1020,General and Operations Managers,broad,2289770,0.3,59.56,123880.0,0.2,21.5,31.56,48.52,75.54,#,44710,65650,100930,157120,#
6,11-1021,General and Operations Managers,detailed,2289770,0.3,59.56,123880.0,0.2,21.5,31.56,48.52,75.54,#,44710,65650,100930,157120,#
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,717220,0.5,68.03,141500.0,0.3,30.24,42.42,60.7,83.91,#,62900,88240,126250,174540,#
10,11-2010,Advertising and Promotions Managers,broad,25260,3.0,63.99,133090.0,1.3,27.48,39.52,56.31,78.54,#,57150,82200,117130,163370,#
11,11-2011,Advertising and Promotions Managers,detailed,25260,3.0,63.99,133090.0,1.3,27.48,39.52,56.31,78.54,#,57150,82200,117130,163370,#
12,11-2020,Marketing and Sales Managers,broad,619500,0.6,68.75,143000.0,0.3,30.28,42.87,61.59,85.22,#,62990,89160,128100,177260,#
13,11-2021,Marketing Managers,detailed,240440,0.8,70.79,147240.0,0.4,33.58,46.04,64.56,87.39,#,69840,95770,134290,181780,#
14,11-2022,Sales Managers,detailed,379050,0.6,67.46,140320.0,0.3,28.34,40.76,59.72,83.42,#,58940,84790,124220,173510,#
15,11-2030,Public Relations and Fundraising Managers,broad,72460,1.1,63.26,131570.0,0.7,30.89,40.44,55.19,76.33,#,64250,84120,114800,158760,#
16,11-2031,Public Relations and Fundraising Managers,detailed,72460,1.1,63.26,131570.0,0.7,30.89,40.44,55.19,76.33,#,64250,84120,114800,158760,#
17,11-3000,Operations Specialties Managers,minor,1853660,0.3,63.79,132680.0,0.2,31.57,41.68,57.01,77,#,65660,86700,118580,160160,#
18,11-3010,Administrative Services Managers,broad,283570,0.5,50.99,106050.0,0.3,26.44,34.54,46.24,61.11,79.55,55000,71850,96180,127100,165470
19,11-3011,Administrative Services Managers,detailed,283570,0.5,50.99,106050.0,0.3,26.44,34.54,46.24,61.11,79.55,55000,71850,96180,127100,165470
20,11-3020,Computer and Information Systems Managers,broad,391430,0.7,73.49,152860.0,0.4,41.05,52.94,68.53,86.63,#,85380,110110,142530,180190,#
21,11-3021,Computer and Information Systems Managers,detailed,391430,0.7,73.49,152860.0,0.4,41.05,52.94,68.53,86.63,#,85380,110110,142530,180190,#
22,11-3030,Financial Managers,broad,608120,0.6,70.59,146830.0,0.4,32.51,43.95,61.53,85.98,#,67620,91420,127990,178840,#
23,11-3031,Financial Managers,detailed,608120,0.6,70.59,146830.0,0.4,32.51,43.95,61.53,85.98,#,67620,91420,127990,178840,#
24,11-3050,Industrial Production Managers,broad,181310,0.7,54.51,113370.0,0.3,30.51,38.72,49.7,64.45,82.76,63470,80530,103380,134060,172150
25,11-3051,Industrial Production Managers,detailed,181310,0.7,54.51,113370.0,0.3,30.51,38.72,49.7,64.45,82.76,63470,80530,103380,134060,172150
26,11-3060,Purchasing Managers,broad,69490,0.8,60.4,125630.0,0.4,33.59,43.49,57.18,72.1,89.93,69860,90460,118940,149960,187060
27,11-3061,Purchasing Managers,detailed,69490,0.8,60.4,125630.0,0.4,33.59,43.49,57.18,72.1,89.93,69860,90460,118940,149960,187060
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,124810,1.0,49.45,102850.0,0.4,26.95,34.78,45.54,59.4,76.14,56050,72340,94730,123550,158370
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,124810,1.0,49.45,102850.0,0.4,26.95,34.78,45.54,59.4,76.14,56050,72340,94730,123550,158370
30,11-3110,Compensation and Benefits Managers,broad,15660,1.5,63.87,132860.0,0.8,33.93,43.98,58.18,77.14,98.78,70560,91480,121010,160450,205470
31,11-3111,Compensation and Benefits Managers,detailed,15660,1.5,63.87,132860.0,0.8,33.93,43.98,58.18,77.14,98.78,70560,91480,121010,160450,205470
32,11-3120,Human Resources Managers,broad,143580,0.6,60.91,126700.0,0.4,32.15,41.23,54.47,73.44,96.82,66870,85750,113300,152760,201380
33,11-3121,Human Resources Managers,detailed,143580,0.6,60.91,126700.0,0.4,32.15,41.23,54.47,73.44,96.82,66870,85750,113300,152760,201380
34,11-3130,Training and Development Managers,broad,35690,1.2,58.53,121730.0,0.5,30.58,39.98,53.53,71.64,92.77,63600,83160,111340,149010,192970
35,11-3131,Training and Development Managers,detailed,35690,1.2,58.53,121730.0,0.5,30.58,39.98,53.53,71.64,92.77,63600,83160,111340,149010,192970
36,11-9000,Other Management Occupations,minor,2510140,0.3,48.51,100900.0,0.2,21.13,29.9,43.33,60.59,80.02,43960,62200,90120,126040,166430
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,4770,5.4,38.43,79940.0,2.7,17.04,24.1,32.67,48.11,65.84,35440,50130,67950,100070,136940
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,4770,5.4,38.43,79940.0,2.7,17.04,24.1,32.67,48.11,65.84,35440,50130,67950,100070,136940
39,11-9020,Construction Managers,broad,278460,0.9,49.57,103110.0,0.4,26.56,33.98,44.89,59.48,77.65,55240,70670,93370,123720,161510
40,11-9021,Construction Managers,detailed,278460,0.9,49.57,103110.0,0.4,26.56,33.98,44.89,59.48,77.65,55240,70670,93370,123720,161510
41,11-9030,Education Administrators,broad,498200,0.6,46.65,97030.0,0.5,23.47,32.23,43.3,57.03,73.45,48810,67050,90060,118620,152770
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,50650,1.6,25.96,53990.0,1.0,14.85,18.08,23.05,30.05,40.25,30900,37610,47940,62500,83730
44,11-9033,"Education Administrators, Postsecondary",detailed,143430,1.3,53.47,111210.0,0.8,26.29,33.46,45.36,63.63,91.63,54680,69600,94340,132350,190600
45,11-9039,"Education Administrators, All Other",detailed,41000,1.6,43.06,89570.0,0.9,21.22,28.51,39.83,53.63,67.79,44130,59310,82850,111550,141000
46,11-9040,Architectural and Engineering Managers,broad,188290,0.9,71.62,148970.0,0.4,43.09,54.04,67.67,83.26,#,89620,112400,140760,173180,#
47,11-9041,Architectural and Engineering Managers,detailed,188290,0.9,71.62,148970.0,0.4,43.09,54.04,67.67,83.26,#,89620,112400,140760,173180,#
48,11-9050,Food Service Managers,broad,219160,1.7,28.35,58960.0,0.6,15.18,19.54,26.08,34.23,44.43,31580,40650,54240,71200,92410
49,11-9051,Food Service Managers,detailed,219160,1.7,28.35,58960.0,0.6,15.18,19.54,26.08,34.23,44.43,31580,40650,54240,71200,92410
50,11-9060,Funeral Service Managers,broad,8400,4.0,45.11,93820.0,2.8,19.91,28.83,38.07,53.3,72.92,41410,59970,79180,110870,151680
51,11-9061,Funeral Service Managers,detailed,8400,4.0,45.11,93820.0,2.8,19.91,28.83,38.07,53.3,72.92,41410,59970,79180,110870,151680
52,11-9070,Gaming Managers,broad,4300,3.9,40.99,85260.0,1.1,22.67,28.36,35.91,47,64.66,47150,58980,74700,97770,134490
53,11-9071,Gaming Managers,detailed,4300,3.9,40.99,85260.0,1.1,22.67,28.36,35.91,47,64.66,47150,58980,74700,97770,134490
54,11-9080,Lodging Managers,broad,37050,2.5,29.94,62270.0,1.0,14.84,18.88,25.67,35.74,49.24,30860,39270,53390,74350,102410
55,11-9081,Lodging Managers,detailed,37050,2.5,29.94,62270.0,1.0,14.84,18.88,25.67,35.74,49.24,30860,39270,53390,74350,102410
56,11-9110,Medical and Health Services Managers,broad,372670,0.6,54.68,113730.0,0.4,28.21,36.56,47.95,62.89,87.79,58680,76050,99730,130820,182600
57,11-9111,Medical and Health Services Managers,detailed,372670,0.6,54.68,113730.0,0.4,28.21,36.56,47.95,62.89,87.79,58680,76050,99730,130820,182600
58,11-9120,Natural Sciences Managers,broad,60260,2.0,67.16,139680.0,1.1,31.25,44.44,59.55,79.76,#,65000,92430,123860,165900,#
59,11-9121,Natural Sciences Managers,detailed,60260,2.0,67.16,139680.0,1.1,31.25,44.44,59.55,79.76,#,65000,92430,123860,165900,#
