,city,state,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
0,Abilene,Texas,85075,27,49583,9368,12687,6935,25576,10738,29001,2253,53385,8597,18241,524,15,1860,200
1,Akron,Ohio,94894,33,42943,25508,10769,5611,33755,13742,31013,2164,54490,31493,1761,134,22,4765,65
2,Albany,Georgia,64884,37,59234,13830,9365,7235,18004,9037,21217,948,20685,40100,1737,96,24,1241,53
3,Albuquerque,New Mexico,319991,35,61589,42306,66219,56998,66455,25103,105387,8437,153880,9545,126499,13606,213,6795,1016
4,Alexandria,Louisiana,59184,38,57892,10955,7768,5315,21019,9059,16030,1856,23883,30783,1494,206,7,924,31
5,Amarillo,Texas,196907,35,67009,26741,27313,13009,53208,35426,67945,7044,109181,13680,61803,643,145,4232,179
6,Ames,Iowa,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14
7,Anchorage,Alaska,867081,33,102234,47730,190701,109314,203442,57651,305823,80919,507582,46935,77619,60072,20823,71037,2094
8,Ann Arbor,Michigan,129170,29,74733,5607,38922,53784,10365,3802,22292,15555,94161,8860,4852,231,53,5265,193
9,Asheville,North Carolina,44784,44,65450,3655,9949,5578,11741,4414,13133,106,39421,1611,2914,85,49,579,19
10,Athens-Clarke County,Georgia,88158,23,30401,13036,20237,22128,15144,7591,20859,5045,56200,18850,6190,61,6,1700,106
11,Bakersfield,California,278522,30,55990,59395,32489,18287,76800,66120,84788,14323,86547,19133,151488,998,353,5316,364
12,Barnstable Town,Massachusetts,25977,52,129847,981,6845,5037,5357,900,7826,73,24682,283,474,12,0,290,163
13,Baton Rouge,Louisiana,145563,25,44470,27804,27561,20374,39324,19535,38809,5732,54682,77356,5429,295,15,1975,79
14,Bay City,Michigan,39388,43,60679,4529,5199,2638,13037,3978,14534,279,35738,538,1812,49,0,963,9
15,Billings,Montana,94977,39,92247,5337,22426,9930,25452,5349,31859,642,84796,532,4236,2547,45,2143,36
16,Bismarck,North Dakota,62254,37,86660,2590,16660,6528,13518,3533,22009,671,56255,1214,1276,1739,39,1019,41
17,Bloomington,Indiana,33311,20,18097,4574,9883,10917,3906,1876,6746,3229,27395,630,1135,26,16,864,16
18,Boise City,Idaho,36061,38,82602,5043,9275,4779,8065,2485,11461,742,29806,741,3269,233,3,1226,41
19,Boulder,Colorado,6935,19,14543,0,0,5693,0,0,1241,789,5062,108,745,6,65,154,6
20,Bowling Green,Kentucky,25067,26,63377,2130,5329,4402,6431,1904,6994,1067,21302,1607,548,160,83,260,40
21,Carson City,Nevada,36229,46,76639,3577,5280,3304,9856,4396,13387,920,24946,608,7805,817,59,1041,33
22,Cedar Rapids,Iowa,27220,35,61551,3065,5215,1909,8627,1289,10202,584,23305,1611,872,19,0,822,7
23,Charleston,West Virginia,10667,44,72156,1595,2142,2292,2664,678,2889,345,8401,1373,208,4,0,283,53
24,Charlottesville,Virginia,24019,35,83806,2954,5500,5764,4779,2978,4995,772,16727,3362,2640,94,17,379,28
25,Chico,California,39032,27,67168,5854,9055,6010,6245,2185,15573,2317,28575,594,5909,128,57,1333,119
26,Colorado Springs,Colorado,290742,33,89054,23265,72140,47506,54441,15292,101403,7056,212358,14077,42824,1194,554,11801,878
27,Columbia,Missouri,48751,25,30435,4606,11396,5867,13287,3976,13917,1203,37133,6023,1951,21,11,2340,69
28,Columbia,South Carolina,87749,24,46124,7118,25151,17376,13581,3631,27144,2633,40255,35867,6080,35,221,2442,216
29,Columbus,Ohio,207313,29,45706,57136,39583,27508,56651,31408,52164,10250,109382,66382,9403,499,136,10679,582
30,Corpus Christi,Texas,283296,35,65857,33711,41670,23173,79304,46441,92605,6635,92833,11388,168890,616,220,2523,191
31,Corvallis,Oregon,24964,23,34155,2045,7803,6915,3001,1044,6198,2226,19475,305,1796,101,86,969,6
32,Dalton,Georgia,8328,43,91602,599,1082,541,2531,1340,2831,58,7361,100,639,0,0,149,21
33,Danbury,Connecticut,32349,41,114772,1617,7019,5402,8540,2749,8604,2164,21676,2337,4337,37,0,593,1205
34,Dayton,Ohio,42351,42,27719,13780,3809,2264,11851,8961,15471,136,18555,19154,3050,200,17,1197,42
35,Decatur,Illinois,1450,33,15801,1297,18,0,487,361,584,0,685,532,34,0,0,190,9
36,Dubuque,Iowa,13497,44,93604,836,3090,1876,4224,526,3765,135,12993,7,161,3,6,192,0
37,El Paso,Texas,570697,33,56203,103920,90921,44472,138369,123099,173712,7009,78558,18135,459752,1519,442,4883,399
38,Enid,Oklahoma,300,24,-1,0,247,52,0,0,0,0,271,0,23,0,0,6,0
39,Erie,Pennsylvania,45003,33,25638,13182,5353,1757,19355,8954,9549,1493,26971,9526,4703,226,21,1844,219
40,Eugene,Oregon,128338,34,61031,14477,26069,15127,27168,10400,49653,4750,100156,2426,13436,984,386,5799,401
41,Fairbanks,Alaska,25245,22,74399,1311,5049,1512,4746,579,13377,1257,14322,2655,4980,168,294,1227,342
42,Fayetteville,North Carolina,152844,32,47208,24952,26545,14174,35820,13213,63118,4039,56754,66743,16779,804,367,7111,247
43,Flagstaff,Arizona,16942,19,9855,0,1456,3794,0,0,11688,702,10894,994,3274,236,134,708,0
44,Flint,Michigan,78085,34,43934,21153,8819,5135,25738,9520,28810,663,44088,27429,2530,239,12,2971,153
45,Florence,South Carolina,80426,39,70084,8491,14292,8194,24120,9540,24302,1475,48018,27413,2030,98,68,1248,76
46,Fort Collins,Colorado,36768,23,63407,3162,11361,7941,5625,1507,10295,1177,29681,706,4036,171,71,911,15
47,Fort Wayne,Indiana,191833,35,67955,20900,38546,21334,52226,17358,62346,7168,149088,15515,12441,346,95,6704,476
48,Fresno,California,210235,31,58791,53845,25362,12223,48194,57841,66674,26432,53395,14712,109961,912,248,4116,459
49,Gainesville,Florida,174849,28,53378,25318,39011,46038,31323,10760,47677,13069,104411,33190,18376,532,145,4515,611
50,Gainesville,Georgia,72663,36,75646,10433,12481,7359,18685,14257,19819,649,49814,4675,16634,29,0,821,41
51,Grand Island,Nebraska,54650,35,68254,6423,7212,3223,17100,9240,17870,702,36072,1330,15517,183,141,560,145
52,Grand Junction,Colorado,36353,40,60777,6055,7792,4013,8541,4063,11941,321,27686,342,6655,279,82,984,4
53,Hammond,Louisiana,1917,19,-1,0,0,0,0,0,1917,29,1207,617,30,6,0,28,0
54,Harrisonburg,Virginia,33109,26,32342,3287,4840,3854,9263,5050,6872,723,22955,1986,6304,52,29,988,72
55,Hattiesburg,Mississippi,1943,19,-1,0,1445,497,0,0,0,73,967,857,32,0,0,14,0
56,Huntsville,Alabama,354582,37,79072,36945,104028,67320,58059,24171,101004,11403,246909,74364,11091,909,93,9000,813
57,Idaho Falls,Idaho,24521,34,68199,2991,4438,2035,6939,2672,8459,225,19647,115,4145,89,61,239,0
58,Iowa City,Iowa,26348,22,42223,1185,8297,8124,3592,1117,5215,1064,22355,708,1257,37,133,720,74
59,Jackson,Michigan,19690,37,43551,4115,1929,511,7147,2736,7364,238,15759,2044,1015,52,0,582,0
60,Jackson,Mississippi,89147,29,50904,16905,17538,13135,20135,11477,25594,611,23579,62955,1311,81,59,546,5
61,Jackson,Tennessee,52743,37,73257,5643,11919,6592,14926,3797,15506,805,31719,16223,2918,14,0,1004,60
62,Jacksonville,Florida,835581,34,63748,106638,158000,71966,235900,92449,277370,40219,430995,261670,76148,1259,818,22420,2052
63,Jacksonville,North Carolina,5144,21,41906,550,524,0,1491,324,2803,53,3073,645,983,138,12,240,0
64,Johnson City,Tennessee,37189,28,30781,5323,8108,5937,9307,2855,10978,919,30863,2661,1624,98,7,1017,0
65,Johnstown,Pennsylvania,3428,53,22661,1258,233,143,1600,737,713,24,2528,642,94,2,0,132,6
66,Jonesboro,Arkansas,26824,26,42287,1274,6105,4034,6875,1645,7883,551,21386,3243,682,41,0,921,0
67,Knoxville,Tennessee,334644,35,65962,44583,73010,48868,86294,31631,94781,7107,268846,34379,15293,845,124,7380,670
68,Kokomo,Indiana,75675,40,59338,10746,9310,5197,28385,9319,23499,1036,64241,5780,2452,250,21,1751,144
69,Lafayette,Louisiana,63226,34,73533,9670,13899,6745,17256,10411,14973,1284,32548,26729,1583,120,0,910,52
70,Lake Charles,Louisiana,72693,34,51332,15437,8788,3670,23753,13783,22645,609,29106,38039,2737,197,0,1786,219
71,Laredo,Texas,88995,31,47797,29307,8925,4597,23688,33900,17927,494,2543,209,85549,57,0,71,72
72,Las Cruces,New Mexico,30310,37,82608,3273,7729,7486,5031,1515,8547,871,15307,1094,12113,190,16,667,52
73,Lawrence,Kansas,99849,27,56276,9201,27386,24894,16428,4632,26529,5510,77454,4213,6337,2291,6,3892,146
74,Lawton,Oklahoma,69568,34,56077,9084,8371,5617,22891,7978,24636,1776,35803,14016,9334,3205,212,5154,68
75,Lexington-Fayette,Kentucky,316124,34,78831,42073,75372,55978,64808,31027,88932,11208,226860,45235,22089,686,157,8854,1035
76,Lima,Ohio,23186,36,51233,3524,1738,1182,8671,3408,8184,200,17411,3777,730,94,0,914,60
77,Lincoln,Nebraska,269025,35,85750,29765,64888,37104,58516,19284,89205,12029,218243,10928,19181,1128,182,7096,238
78,Longview,Texas,38422,34,58389,7118,3663,1870,11424,8809,12656,304,16604,11262,9574,80,0,547,51
79,Lubbock,Texas,206860,28,55579,21588,44977,24984,47262,23781,65750,4384,122412,10334,64825,743,145,3840,177
80,Madison,Wisconsin,57750,22,53107,3925,20836,19503,4486,2288,10633,5009,46372,1713,3039,102,21,1471,23
81,Manchester,New Hampshire,13394,40,76082,731,2805,1381,3965,939,4301,288,11764,532,535,12,0,212,51
82,Manhattan,Kansas,3478,19,-1,0,0,580,0,0,2897,201,2829,117,167,5,13,146,0
83,Mansfield,Ohio,36023,37,32817,5525,3294,1054,15414,5963,10274,87,27318,5565,860,68,0,2084,41
84,Midland,Michigan,33337,40,76345,3000,7267,4500,9267,2166,10134,636,30445,657,955,117,28,499,0
85,Midland,Texas,92216,31,92487,8152,15610,5904,23573,19007,28080,1241,36364,7117,46267,201,0,971,55
86,Missoula,Montana,49385,33,69672,5285,14341,9752,8163,1986,15169,920,44086,274,1614,944,0,1511,36
87,Mobile,Alabama,610647,36,53808,97404,123438,70041,165465,61500,189501,12441,329868,237228,19032,672,15,10227,1164
88,Modesto,California,111230,37,70796,12922,16000,7822,29724,14797,42876,8105,59827,4442,33758,671,1016,3104,307
89,Monroe,Louisiana,21515,29,40641,2517,6166,3627,4245,1770,5705,226,13117,7381,522,65,0,204,0
90,Montgomery,Alabama,347487,35,55138,71727,52194,36693,101985,64944,91743,3705,123216,202632,12405,306,27,4827,369
91,Morristown,Tennessee,37978,41,57853,4950,4491,2695,14692,6899,9229,526,30623,1436,4530,45,10,808,0
92,Muncie,Indiana,8665,28,16461,6379,305,407,6285,687,982,82,6960,925,455,15,8,185,35
93,Muskegon,Michigan,861,45,29466,334,105,92,139,161,360,0,593,126,9,34,0,99,0
94,Napa,California,28089,37,95743,1713,6011,2752,6207,4297,8848,508,14883,328,11471,75,68,699,57
95,New Bedford,Massachusetts,51115,36,53012,10204,5298,2437,17403,14230,11712,495,34633,2008,11184,10,0,872,1913
96,New Haven,Connecticut,37855,30,70651,9475,5906,7078,11175,6270,7416,1187,11230,13413,10563,171,0,1097,194
97,Ocala,Florida,149170,44,57141,22027,19903,11570,52403,19421,45820,2400,104547,21222,17511,227,135,3025,103
98,Ocean City,New Jersey,11328,53,99427,487,3534,1971,2548,657,2605,207,9697,296,922,9,0,197,0
99,Odessa,Texas,84455,29,82504,6969,10772,4350,24040,18447,26822,760,32010,4243,45759,170,0,1434,79
100,Oklahoma City,Oklahoma,321923,34,75671,54280,51466,26586,86374,65543,91937,14063,153485,47013,82091,7804,181,16939,347
101,Owensboro,Kentucky,83973,38,63691,10999,11278,7302,28708,9626,27012,1249,73306,4314,2666,162,0,2112,164
102,Peoria,Illinois,28990,30,50400,5981,4368,3480,7654,4526,8951,787,15966,8102,2465,37,9,1433,191
103,Pine Bluff,Arkansas,29846,29,38231,7758,3342,1850,10504,4894,9282,100,2656,26614,342,116,0,18,0
104,Pittsburgh,Pennsylvania,167363,30,74715,24213,43637,47070,33426,10609,32612,13406,110386,33471,5031,220,10,4363,476
105,Pocatello,Idaho,1171,20,13914,966,173,221,0,83,693,78,775,64,151,4,0,99,0
106,Port St. Lucie,Florida,116572,44,73614,11149,17048,8408,35806,15349,40012,2944,64344,21803,24616,158,0,2622,85
107,Prescott,Arizona,44744,52,30254,4162,8530,7130,7944,3006,18124,798,38446,168,3832,356,0,1144,0
108,Pueblo,Colorado,77166,37,49025,14374,9084,5697,22751,10793,28802,529,33700,1543,39439,430,104,1312,109
109,Raleigh,North Carolina,235986,36,100650,16120,84711,48049,31255,14778,57266,8105,152633,47210,22265,610,156,4480,527
110,Redding,California,33697,38,66258,4178,4953,2358,8289,2999,15096,1816,25237,537,3624,734,0,1726,23
111,Reno,Nevada,105114,42,91939,6711,26026,18135,18553,7314,35037,6272,78539,1875,13413,713,819,3347,136
112,Richmond,Virginia,92967,30,67778,18928,22737,13979,21262,13014,21890,2665,39741,39533,7813,150,26,2769,270
113,Roanoke,Virginia,33030,35,72651,7452,3324,2053,11995,6268,9414,509,11268,18649,1210,73,171,1068,82
114,Rochester,Minnesota,124260,37,100515,7467,30898,25270,24059,7139,36885,8587,96886,8263,6692,225,20,3399,188
115,Rochester,New York,92786,29,39612,28878,13587,7795,25759,18059,27564,3354,29778,43424,13011,194,11,2770,244
116,Rockford,Illinois,57991,33,44036,16152,3737,1871,20482,14354,17557,1467,22942,18317,13658,48,5,1504,50
117,Rocky Mount,North Carolina,20279,38,41707,5962,1358,851,7868,4096,6083,13,4527,15061,190,9,28,423,28
118,Rome,Georgia,1876,20,87422,0,1016,808,0,26,26,21,1545,221,67,0,0,22,0
