,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
0,"Abilene, TX",ABILENE,79563,Texas,Tye; Abilene,1052,33,0,756,11,0,45,0,12,228,45376,291,8.9,83,9,534,190,234,93
1,"Abilene, TX",ABILENE,79601,Texas,Abilene,28041,30,546,15155,3887,352,2,83,693,7323,52921,4321,12.8,3056,1934,10066,5524,7458,3589
2,"Abilene, TX",ABILENE,79602,Texas,Abilene; Potosi,24027,33,206,16808,1265,106,13,0,496,5133,78945,5937,9.4,4541,2138,6439,2979,7904,2258
3,"Abilene, TX",ABILENE,79603,Texas,Impact; Abilene; Tye,23577,32,167,10196,2402,59,0,0,208,10545,51676,5840,19.0,2664,613,8416,5351,6530,4479
4,"Abilene, TX",ABILENE,79605,Texas,Abilene,29672,33,569,19773,2168,150,13,111,467,6421,63713,7343,12.2,4183,2047,9346,3619,10444,3619
5,"Abilene, TX",ABILENE,79606,Texas,Abilene,23929,33,988,16483,1959,22,0,6,512,3959,77331,6110,7.8,4714,2799,5599,1483,9356,1866
6,"Abilene, TX",ABILENE,79607,Texas,Abilene,3309,21,150,1890,561,0,0,0,188,520,53954,584,8.9,734,155,565,112,1743,294
7,"Abilene, TX",ABILENE,79699,Texas,Abilene,124,19,0,84,22,0,0,0,0,18,-1,0,0.0,0,0,0,0,0,0
8,"Akron, OH",AKRON,44203,Ohio,Akron; New Franklin; Barberton,40997,41,230,36807,2276,12,0,16,894,762,59722,10819,10.7,5247,2090,17464,5739,10495,4386
9,"Akron, OH",AKRON,44221,Ohio,Akron; Stow; Cuyahoga Falls; T,29433,37,703,26952,833,54,10,27,347,507,57752,7214,8.3,6004,2590,9447,2089,9300,2442
10,"Akron, OH",AKRON,44223,Ohio,Akron; Cuyahoga Falls,17732,45,57,16499,407,46,24,71,140,488,76552,4737,6.1,4486,2198,5177,673,5195,1081
11,"Akron, OH",AKRON,44260,Ohio,Akron; Brimfield; Mogadore,13543,43,7,13174,3,0,0,0,177,182,73202,3633,6.3,2370,907,6134,853,3277,853
12,"Akron, OH",AKRON,44278,Ohio,Akron; Tallmadge; Munroe Falls,17878,45,102,16241,954,11,0,0,456,114,79770,5027,7.5,3825,1823,5792,1036,5381,1340
13,"Akron, OH",AKRON,44301,Ohio,Akron,15509,34,83,10275,3996,27,0,0,918,210,51371,3759,17.7,2279,651,5536,1721,5319,2745
14,"Akron, OH",AKRON,44302,Ohio,Akron,5297,35,45,2968,2111,13,4,0,128,28,38485,1179,21.9,1011,349,1567,471,1896,1160
